CO2,Group,Total,Biomass,Relative frequency
350,Diatoms,0.13,0.066,0.507692308
350,Cocco,0.13,0.03,0.230769231
350,Green,0.13,0.011,0.084615385
350,Other,0.13,0.023,0.176923077
700,Diatoms,0.15,0.085,0.566666667
700,Cocco,0.15,0.032,0.213333333
700,Green,0.15,0.014,0.093333333
700,Other,0.15,0.019,0.126666667
1050,Diatoms,0.17,0.09,0.529411765
1050,Cocco,0.17,0.034,0.2
1050,Green,0.17,0.017,0.1
1050,Other,0.17,0.029,0.170588235
