date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
29.11.2012	09:32:56	-0.69	18.03	4.27	1.97	3.26	5.11	8.00	13.53	1.02	0.04	0.00	0.00	1.06	93.90	20.34	18.27	752.8447873649
29.11.2012	09:33:00	-0.71	18.18	4.26	2.04	3.25	5.02	8.05	13.49	1.03	0.03	0.00	0.00	1.06	93.95	20.12	18.40	711.0986556865
29.11.2012	09:33:03	-0.68	18.20	4.36	1.95	3.33	5.08	7.96	13.42	1.00	0.05	0.00	0.00	1.05	93.85	20.17	18.37	732.0544772159
29.11.2012	09:33:06	-0.68	18.25	4.28	1.99	3.29	4.99	7.96	13.37	1.00	0.03	0.00	0.00	1.03	93.90	20.21	18.47	714.9913179581
29.11.2012	09:33:09	-0.70	18.19	4.34	1.95	3.47	5.02	8.02	13.43	1.02	0.05	0.00	0.00	1.07	93.84	20.15	18.52	700.9976759866
29.11.2012	09:33:11	-0.69	18.19	4.36	2.06	3.39	5.02	7.77	13.20	0.93	0.06	0.00	0.00	0.99	93.84	20.13	18.68	768.8283893002
29.11.2012	09:33:14	-0.69	18.31	4.38	1.95	3.39	5.07	8.06	13.44	1.03	0.05	0.00	0.00	1.08	93.70	20.23	18.77	686.1580370151
29.11.2012	09:33:17	-0.68	18.09	4.32	2.11	3.46	5.02	8.05	13.47	1.03	0.05	0.00	0.00	1.08	93.58	20.31	18.75	700.0524357958
29.11.2012	09:33:20	-0.71	18.23	4.41	1.92	3.49	4.98	7.82	13.43	0.97	0.06	0.00	0.00	1.03	93.78	20.14	18.87	816.6989499514
29.11.2012	09:33:23	-0.69	18.23	4.18	1.93	3.47	5.12	8.01	13.42	1.01	0.06	0.00	0.00	1.07	93.61	20.22	18.77	708.8877419425
