date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
09.11.2012	11:52:46	-0.73	20.26	11.79	4.51	12.69	17.57	51.49	31.07	13.35	0.01	0.00	0.00	13.36	60.12	22.78	21.29	0.4098493316
09.11.2012	11:52:50	-0.71	20.16	12.05	4.51	12.41	17.89	51.31	30.53	13.24	0.03	0.00	0.02	13.28	59.19	22.87	21.16	0.4294403365
09.11.2012	11:52:52	-0.71	20.20	11.59	4.58	12.72	17.75	51.62	30.73	13.34	0.02	0.00	0.00	13.36	58.48	22.90	21.10	0.4662986643
09.11.2012	11:52:55	-0.72	20.05	11.62	4.61	12.62	17.65	51.56	30.64	13.32	0.01	0.00	0.00	13.32	57.61	22.71	21.33	0.4330818566
09.11.2012	11:52:58	-0.72	20.24	11.52	4.62	12.63	17.53	51.93	30.78	13.40	0.00	0.00	0.00	13.40	57.15	22.74	21.27	0.5045205950
09.11.2012	11:53:01	-0.72	20.15	11.79	4.44	12.73	17.45	51.86	30.89	13.41	0.00	0.00	0.00	13.41	56.58	22.76	21.38	0.2617892691
09.11.2012	11:53:04	-0.72	20.28	11.55	4.56	12.72	17.42	52.08	31.06	13.46	0.00	0.00	0.00	13.46	56.14	22.66	21.35	0.5006295450
09.11.2012	11:53:06	-0.72	20.22	11.79	4.50	12.78	17.63	52.05	30.95	13.47	0.00	0.00	0.00	13.47	55.99	22.76	21.51	0.2960339276
09.11.2012	11:53:09	-0.71	20.12	11.95	4.49	12.78	17.57	52.19	31.00	13.50	0.00	0.00	0.00	13.50	55.71	22.60	21.62	0.2007018417
09.11.2012	11:53:12	-0.73	20.14	12.05	4.37	12.83	17.84	51.80	30.83	13.40	0.04	0.00	0.00	13.44	55.59	22.73	21.57	0.2137745750
