date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
09.11.2012	11:42:50	-0.72	20.39	6.66	2.70	6.23	8.95	19.78	20.09	4.53	0.13	0.00	0.00	4.65	77.81	22.42	21.15	69.4656949505
09.11.2012	11:42:54	-0.72	20.41	6.47	2.74	6.40	8.74	19.53	20.00	4.45	0.13	0.00	0.00	4.58	77.16	22.34	21.34	72.3896450587
09.11.2012	11:42:57	-0.72	20.39	6.47	2.76	6.14	8.80	19.56	20.07	4.47	0.11	0.00	0.00	4.58	76.87	22.36	21.17	74.5495750312
09.11.2012	11:43:00	-0.73	20.32	6.43	2.79	6.25	8.80	19.47	20.04	4.44	0.13	0.00	0.00	4.57	76.63	22.45	21.26	75.5796338094
09.11.2012	11:43:03	-0.71	20.38	6.48	2.77	6.26	8.76	19.04	19.78	4.31	0.15	0.00	0.00	4.46	76.26	22.31	21.23	76.9649962989
09.11.2012	11:43:05	-0.72	20.27	6.39	2.82	6.32	8.68	19.31	20.09	4.41	0.13	0.00	0.00	4.53	76.09	22.59	21.22	81.1752670193
09.11.2012	11:43:08	-0.72	20.36	6.46	2.68	6.36	8.73	19.44	20.05	4.43	0.13	0.00	0.00	4.56	75.94	22.61	21.42	76.3469019997
09.11.2012	11:43:11	-0.72	20.45	6.35	2.59	6.51	8.67	19.38	19.81	4.39	0.14	0.00	0.00	4.53	75.61	22.55	21.47	70.3621196425
09.11.2012	11:43:14	-0.72	20.41	6.41	2.81	6.37	8.66	19.31	19.78	4.38	0.13	0.00	0.00	4.51	75.59	22.54	21.53	70.7581866759
09.11.2012	11:43:17	-0.71	20.43	6.40	2.69	6.32	8.49	19.29	19.93	4.39	0.11	0.00	0.00	4.50	75.34	22.37	21.49	76.8165994501
