Reference,Experiment Type,Marine/Fresh,Group,Species,Low,Elevated,Type of response,ResponseLow,ResponseAmbientCO2,ResponseElevatedCO2,Secondary nutrient,ResponseElevatedSecondary,ResponseIntereaction,Significance of CO2,HalfSaturationCO2,half saturation unit,HalfSaturationHCO3,CO2 compensation point,compensation point unit,Column1,Carbon Concentration Factor,RubisCO specifity factor,Notes
"Birmingham, B. C. & Colman, B. 1979 Measurement of carbon dioxide compensation points of freshwater algae. Plant Physiol 64, 892_895. ",Lab,freshwater,cyanobacteria,Anacystis nidulans,,,,,,,,,,,,,,13.425,ppm,,,,averaged across 2 ph treatments and 2 oxygen treatments
"Birmingham, B. C. & Colman, B. 1979 Measurement of carbon dioxide compensation points of freshwater algae. Plant Physiol 64, 892_895. ",Lab,freshwater,cyanobacteria,Anabaena flos,,,,,,,,,,,,,,10.95,ppm,,,,averaged across 2 ph treatments and 2 oxygen treatments
"Birmingham, B. C. & Colman, B. 1979 Measurement of carbon dioxide compensation points of freshwater algae. Plant Physiol 64, 892_895. ",Lab,freshwater,cyanobacteria,Coccochloris penicystis,,,,,,,,,,,,,,8.225,ppm,,,,averaged across 2 ph treatments and 2 oxygen treatments
"Birmingham, B. C. & Colman, B. 1979 Measurement of carbon dioxide compensation points of freshwater algae. Plant Physiol 64, 892_895. ",Lab,freshwater,cyanobacteria,Phormidium molle,,,,,,,,,,,,,,7.55,ppm,,,,averaged across 2 ph treatments and 2 oxygen treatments
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,chlorophyte,Chlamydomonas reinhardtii ,,,,,,,,,,,,,,,,,40,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,chlorophyte,Dunaliella sp. ,,,,,,,,,,,,,,,,,20,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,chlorophyte,Chlorella sp.,,,,,,,,,,,,,,,,,75,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,chlorophyte,Chlorella saccharophila,,,,,,,,,,,,,,,,,180,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,chlorophyte,Euglena gracilis,,,,,,,,,,,,,,,,,10,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,chlorophyte,Stichococcus bacillaris,,,,,,,,,,,,,,,,,20,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,chlorophyte,Nannochloropsis oculata,,,,,,,,,,,,,,,,,1,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,chlorophyte,Ulva sp.,,,,,,,,,,,,,,,,,10,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,coccolithophore,Emiliania huxleyi,,,,,,,,,,,,,,,,,15,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,coccolithophore,Isochrysis galbana,,,,,,,,,,,,,,,,,6,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,diatom,Phaeodactylum tricornutum,,,,,,,,,,,,,,,,,6,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,diatom,Cyclotella sp.,,,,,,,,,,,,,,,,,3.5,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,diatom,Navicula peliculosa,,,,,,,,,,,,,,,,,20,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,rhodophyceae,Porphyridium purpureum ,,,,,,,,,,,,,,,,,3,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,rhodophyceae,Cyanidioschyzon merolae,,,,,,,,,,,,,,,,,80,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,Pyrrophyta,Peridinium gatunense,,,,,,,,,,,,,,,,,80,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,chlorophyte,Scenedesmus obliquus,,,,,,,,,,,,,,,,,,63,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,chlorophyte,Chlamydomonas reinhardtii ,,,,,,,,,,,,,,,,,,61,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,chlorophyte,Coccomyxa sp. ,,,,,,,,,,,,,,,,,,83,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,chlorophyte,Euglena gracilis,,,,,,,,,,,,,,,,,,54,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,cyanobacteria,Synechococcus,,,,,,,,,,,,,,,,,,56,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,cyanobacteria,Synechococcus,,,,,,,,,,,,,,,,,,46,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,cyanobacteria,Anabaena,,,,,,,,,,,,,,,,,,35,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,cyanobacteria,Aphanizomenon flos-aquae,,,,,,,,,,,,,,,,,,48,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,cyanobacteria,Coccochloris peniocystis,,,,,,,,,,,,,,,,,,47,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,cyanobacteria,Prochlorococcus sp.,,,,,,,,,,,,,,,,,,,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,cyanobacteria,Synechococcus,,,,,,,,,,,,,,,,,,37,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,cyanobacteria,Chromatium vinosum,,,,,,,,,,,,,,,,,,53,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,diatom,Cylindrotheca fusiformis,,,,,,,,,,,,,,,,,,110,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,diatom,Cylindrotheca,,,,,,,,,,,,,,,,,,106,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,diatom,Phaeodactylum tricornutum,,,,,,,,,,,,,,,,,,114,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,diatom,Olisthodiscus luteus,,,,,,,,,,,,,,,,,,101,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,coccolithophore,Emiliania huxleyi,,,,,,,,,,,,,,,,,,77,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,coccolithophore,Emiliania huxleyi,,,,,,,,,,,,,,,,,,79,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,rhodophyceae,Porphyridium cruentum ,,,,,,,,,,,,,,,,,,129,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,rhodophyceae,Cyanidium caldarium,,,,,,,,,,,,,,,,,,224,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,rhodophyceae, Cyanidium partita ,,,,,,,,,,,,,,,,,,238,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,rhodophyceae,Gauldieria sulfuraria,,,,,,,,,,,,,,,,,,163,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,purple bacteria,Alcaligenes eutrophus,,,,,,,,,,,,,,,,,,75,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,purple bacteria,Rhodopseudomonas sphaeroides I,,,,,,,,,,,,,,,,,,62,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,purple bacteria,Rhodobacter sphaeroides,,,,,,,,,,,,,,,,,,60,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,Pyrrhophyta,Amphidinium carterae,,,,,,,,,,,,,,,,,,37,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,Proteobacteria,Rhodospirillum rubrum,,,,,,,,,,,,,,,,,,15,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,Proteobacteria,Rhodobacter sphaeroides II,,,,,,,,,,,,,,,,,,10,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,Proteobacteria,Thiobacillus denitrificans,,,,,,,,,,,,,,,,,,10,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. ",Lab,,Proteobacteria,Rhodopseudomonas sphaeroides,,,,,,,,,,,,,,,,,,9,MUCH MORE DATA IS AVAILABLE IN THIS REFERENCE (calcium inhibition etc).
"Badger, M. R. & Andrews, T. J. 1982 Photosynthesis and Inorganic Carbon Usage by the Marine I-fl. , 517Ð523. ",Lab,marine,cyanobacteria,Synechococcus,,,,,,,,,,,,,,,,,1000,,
"Volokita, M., Zenvirth, D., Kaplan, a & Reinhold, L. 1984 Nature of the Inorganic Carbon Species Actively Taken Up by the Cyanobacterium Anabaena variabilis. Plant physiology 76, 599Ð602. ",Lab,ubiquitous,cyanobacteria,Anabaena variabilis,,,,,,,,,,,,,,,,,1000,,
"Aizawa, K. 1986 Carbonic anhydrase and CO2 concentrating mechanisms in microalgae and cyanobacteria. FEMS Microbiology Letters 39, 215Ð233. (doi:10.1016/0378-1097(86)90447-7)",Lab,,cyanobacteria,Anabaena variabilis,,,,,,,,,,,,,,,,,2300,,
"Aizawa, K. 1986 Carbonic anhydrase and CO2 concentrating mechanisms in microalgae and cyanobacteria. FEMS Microbiology Letters 39, 215Ð233. (doi:10.1016/0378-1097(86)90447-7)",Lab,,cyanobacteria,Anabaena variabilis,,,,,,,,,,,,,,,,,360,,"Values for chlorophytes were not replicated for Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. "
"Aizawa, K. 1986 Carbonic anhydrase and CO2 concentrating mechanisms in microalgae and cyanobacteria. FEMS Microbiology Letters 39, 215Ð233. (doi:10.1016/0378-1097(86)90447-7)",Lab,,cyanobacteria,Anacystis nidulans,,,,,,,,,,,,,,,,,16000,,
"Aizawa, K. 1986 Carbonic anhydrase and CO2 concentrating mechanisms in microalgae and cyanobacteria. FEMS Microbiology Letters 39, 215Ð233. (doi:10.1016/0378-1097(86)90447-7)",Lab,,cyanobacteria,Coccochloris peniocystis,,,,,,,,,,,,,,,,,1000,,
"Aizawa, K. 1986 Carbonic anhydrase and CO2 concentrating mechanisms in microalgae and cyanobacteria. FEMS Microbiology Letters 39, 215Ð233. (doi:10.1016/0378-1097(86)90447-7)",Lab,,cyanobacteria,Spirulina platensis,,,,,,,,,,,,,,,,,180,,
"Aizawa, K. 1986 Carbonic anhydrase and CO2 concentrating mechanisms in microalgae and cyanobacteria. FEMS Microbiology Letters 39, 215Ð233. (doi:10.1016/0378-1097(86)90447-7)",Lab,,xanthophyceaae,Synechococcus sp.,,,,,,,,,,,,,,,,,12500,,
"Aizawa, K. 1986 Carbonic anhydrase and CO2 concentrating mechanisms in microalgae and cyanobacteria. FEMS Microbiology Letters 39, 215Ð233. (doi:10.1016/0378-1097(86)90447-7)",Lab,,chlorophyte,Botrydiopsis intercedenss intercedens ,,,,,,,,,,,,,,,,,200,,
"Aizawa, K. 1986 Carbonic anhydrase and CO2 concentrating mechanisms in microalgae and cyanobacteria. FEMS Microbiology Letters 39, 215Ð233. (doi:10.1016/0378-1097(86)90447-7)",Lab,,chlorophyte,Dunaliella salina,,,,,,,,,,,,,,,,,18,,
"Miller, A. G., Espie, G. S., Canvin, D. T. & Al, M. E. T. 1988 Active Transport of CO2 by the Cyanobacterium Synechococcus UTEX 6251. 625, 677Ð683. ",Lab,,cyanobacteria,Synechococcus,,,,,,,,,,,,,,,,,18000,,
