Reference,Experiment Type,Marine/Fresh,Group,Species,Low,Elevated,Type of response,ResponseLow,ResponseAmbientCO2,ResponseElevatedCO2,Secondary nutrient,ResponseElevatedSecondary,ResponseIntereaction,Significance of CO2,HalfSaturationCO2,half saturation unit,HalfSaturationHCO3,CO2 compensation point,compensation point unit,Column1,Carbon Concentration Factor,RubisCO specifity factor,Notes
"King, A. L., Sa_udo-Wilhelmy, S. a, Leblanc, K., Hutchins, D. a & Fu, F. 2011 CO2 and vitamin B12 interactions determine bioactive trace metal requirements of a subarctic Pacific diatom. The ISME journal 5, 1388_96. (doi:10.1038/ismej.2010.211)",Lab,marine,diatom,Attheya sp. ,200,670,growth rate,0.259871,0.294269,0.335759,,,,Yes,,,,,,,,,Values for B12 replete
"King, A. L., Sa_udo-Wilhelmy, S. a, Leblanc, K., Hutchins, D. a & Fu, F. 2011 CO2 and vitamin B12 interactions determine bioactive trace metal requirements of a subarctic Pacific diatom. The ISME journal 5, 1388_96. (doi:10.1038/ismej.2010.211)",Lab,marine,diatom,Attheya sp. ,200,670,growth rate,0.15089,0.15516,0.162278,B12,0.294269,0.335759,No,,,,,,,,,Values for interaction with B12
"Low-D_carie, E., Fussmann, G. F. & Bell, G. 2011 The effect of elevated CO2 on growth and competition in experimental phytoplankton communities. Global Change Biology 17, 2525_2535. (doi:10.1111/j.1365-2486.2011.02402.x)",Lab,freshwater,cyanobacteria,Anabaena variabilis,,1000,growth rate,,1.313333,1.313333,,,,,,,,,,,,,Average of the two last assays (where high CO2 is 1000)
"Low-D_carie, E., Fussmann, G. F. & Bell, G. 2011 The effect of elevated CO2 on growth and competition in experimental phytoplankton communities. Global Change Biology 17, 2525_2535. (doi:10.1111/j.1365-2486.2011.02402.x)",Lab,freshwater,diatom,Navicula pelliculosa,,1000,growth rate,,1.281667,1.49,,,,,,,,,,,,,Average of the two last assays (where high CO2 is 1000)
"Low-D_carie, E., Fussmann, G. F. & Bell, G. 2011 The effect of elevated CO2 on growth and competition in experimental phytoplankton communities. Global Change Biology 17, 2525_2535. (doi:10.1111/j.1365-2486.2011.02402.x)",Lab,freshwater,diatom,Nitzschia palea,,1000,growth rate,,1.251667,1.358333,,,,,,,,,,,,,Average of the two last assays (where high CO2 is 1000)
"Low-D_carie, E., Fussmann, G. F. & Bell, G. 2011 The effect of elevated CO2 on growth and competition in experimental phytoplankton communities. Global Change Biology 17, 2525_2535. (doi:10.1111/j.1365-2486.2011.02402.x)",Lab,freshwater,chlorophyte,Pseudokirchneriella subcapitata,,1000,growth rate,,1.428333,1.653333,,,,,,,,,,,,,Average of the two last assays (where high CO2 is 1000)
"Low-D_carie, E., Fussmann, G. F. & Bell, G. 2011 The effect of elevated CO2 on growth and competition in experimental phytoplankton communities. Global Change Biology 17, 2525_2535. (doi:10.1111/j.1365-2486.2011.02402.x)",Lab,freshwater,chlorophyte,Scenedesmus acutus,,1000,growth rate,,1.435,1.63,,,,,,,,,,,,,Average of the two last assays (where high CO2 is 1000)
"Low-D_carie, E., Fussmann, G. F. & Bell, G. 2011 The effect of elevated CO2 on growth and competition in experimental phytoplankton communities. Global Change Biology 17, 2525_2535. (doi:10.1111/j.1365-2486.2011.02402.x)",Lab,freshwater,cyanobacteria,Synechococcus leopoliensis,,1000,growth rate,,1.318333,1.435,,,,,,,,,,,,,Average of the two last assays (where high CO2 is 1000)
"Kitaya, Y., Xiao, L., Masuda, a., Ozawa, T., Tsuda, M. & Omasa, K. 2008 Effects of temperature, photosynthetic photon flux density, photoperiod and O2 and CO2 concentrations on growth rates of the symbiotic dinoflagellate, Amphidinium sp. Journal of Applied Phycology 20, 737_742. (doi:10.1007/s10811-008-9331-7)",Lab,,,,,,,,,,,,,,,,,,,,,,Growth in micro droplets and too low resolution of plot
"Lohbeck, K. T., Riebesell, U. & Reusch, T. B. H. 2012 Adaptive evolution of a key phytoplankton species to ocean acidification. Nature Geoscience 5, 346_351. (doi:10.1038/ngeo1441)",Lab,marine,coccolithophore,Emiliania huxleyi ,,1100,growth rate,,1.14871075,1.06002975,,,,,,,,,,,,,Average of single clone and multiclonal cultures.  Extremely high CO2 2200 also available.
"Collins, S. S. & Bell, G. 2004 Phenotypic consequences of 1,000 generations of selection at elevated CO2 in a green alga. Nature 431, 566_569. (doi:10.1038/nature02945)",Lab,freshwater,chlorophyte,Chlamydomonas reinhardtii ,,1000,growth rate,,0.929387824,1.5962985,,,,,,,,,,,,,Average of adapted and non-adapted lines
"Yang, Y. & Gao, K. 2003 Effects of CO 2 concentrations on the freshwater microalgae , Chlamydomonas reinhardtii , Chlorella pyrenoidosa and Scenedesmus obliquus ( Chlorophyta ). 279, 1_11. ",Lab,freshwater,chlorophyte,Chlamydomonas reinhardtii ,,,growth rate,,1.741201,2.024793,N,2.229592,2.549054,,,,,,,,,,CO2 concentrations in umole.  More CO2 levels available
"Yang, Y. & Gao, K. 2003 Effects of CO 2 concentrations on the freshwater microalgae , Chlamydomonas reinhardtii , Chlorella pyrenoidosa and Scenedesmus obliquus ( Chlorophyta ). 279, 1_11. ",Lab,freshwater,chlorophyte,Chlamydomonas reinhardtii ,,,growth rate,,2.102888,2.427798,P,2.355596,2.65343,,,,,,,,,,CO2 concentrations in umole.  More CO2 levels available
"Yang, Y. & Gao, K. 2003 Effects of CO 2 concentrations on the freshwater microalgae , Chlamydomonas reinhardtii , Chlorella pyrenoidosa and Scenedesmus obliquus ( Chlorophyta ). 279, 1_11. ",Lab,freshwater,chlorophyte,Chlorella pyrenoidosa ,,,growth rate,,0.854446,1.142716,N,1.180215,1.519221,,,,,,,,,,CO2 concentrations in umole.  More CO2 levels available
"Yang, Y. & Gao, K. 2003 Effects of CO 2 concentrations on the freshwater microalgae , Chlamydomonas reinhardtii , Chlorella pyrenoidosa and Scenedesmus obliquus ( Chlorophyta ). 279, 1_11. ",Lab,freshwater,chlorophyte,Chlorella pyrenoidosa ,,,growth rate,,1.270509,1.522571,P,1.320919,1.65269,,,,,,,,,,CO2 concentrations in umole.  More CO2 levels available
"Yang, Y. & Gao, K. 2003 Effects of CO 2 concentrations on the freshwater microalgae , Chlamydomonas reinhardtii , Chlorella pyrenoidosa and Scenedesmus obliquus ( Chlorophyta ). 279, 1_11. ",Lab,freshwater,chlorophyte,Scenedesmus obliquus ,,,growth rate,,1.25235,1.401377,N,1.324208,1.480457,,,,,,,,,,CO2 concentrations in umole.  More CO2 levels available
"Yang, Y. & Gao, K. 2003 Effects of CO 2 concentrations on the freshwater microalgae , Chlamydomonas reinhardtii , Chlorella pyrenoidosa and Scenedesmus obliquus ( Chlorophyta ). 279, 1_11. ",Lab,freshwater,chlorophyte,Scenedesmus obliquus ,,,growth rate,,1.019257,1.168307,P,1.127323,1.203886,,,,,,,,,,CO2 concentrations in umole.  More CO2 levels available
"Spijkerman, E., de Castro, F. & Gaedke, U. 2011 Independent colimitation for carbon dioxide and inorganic phosphorus. PloS one 6, e28219. (doi:10.1371/journal.pone.0028219)",Lab,freshwater,chlorophyte,Chlamydomonas acidophila,,,,,,,,,,,,,,,,,,,Data can not be extracted from figures
"Clark, D. R. & Flynn, K. J. 2000 The relationship between the dissolved inorganic carbon concentration and growth rate in marine phytoplankton. Proceedings of the Royal Society of London. Series B: Biological Sciences 267, 953_959. (doi:10.1098/rspb.2000.1096)",Lab,,,,,,,,,,,,,,,,,,,,,,"Lots of species, but growth response it to DIC not CO2 (convert DIC to CO2?)"
"Hansen, P. J., Lundholm, N. & Rost, B. 2007 Growth limitation in marine red-tide dinoflagellates : effects of pH versus inorganic carbon availability. 334, 63_71. ",Lab,,,Ceratium lineatum ,,,,,,,,,,,,,,,,,,,C as DIC or CO2 +HCO3- in mM
"Hansen, P. J., Lundholm, N. & Rost, B. 2007 Growth limitation in marine red-tide dinoflagellates : effects of pH versus inorganic carbon availability. 334, 63_71. ",Lab,,,Heterocapsa triquetra ,,,,,,,,,,,,,,,,,,,C as DIC or CO2 +HCO3- in mM
"Hansen, P. J., Lundholm, N. & Rost, B. 2007 Growth limitation in marine red-tide dinoflagellates : effects of pH versus inorganic carbon availability. 334, 63_71. ",Lab,,,Prorocentrum minimum ,,,,,,,,,,,,,,,,,,,C as DIC or CO2 +HCO3- in mM
"Burkhardt, S., Zondervan, I. & Riebesell, U. 1999 Effect of CO 2 concentration on C : N : P ratio in marine phytoplankton : A species comparison. 44, 683_690. ",Lab,,,,,,,,,,,,,,,,,,,,,,7 Species CO2 presented as um/kg
