date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
06.12.2012	14:10:44	-0.65	18.38	97.70	32.98	101.62	146.88	416.10	213.21	114.14	1.46	0.00	6.33	121.93	91.78	20.83	18.91	1.6715517894
06.12.2012	14:10:47	-0.65	18.37	96.18	32.78	113.89	142.26	427.17	218.33	117.29	4.10	2.46	0.00	123.85	91.58	20.87	19.02	0.9777520637
06.12.2012	14:10:50	-0.62	18.30	95.27	30.85	113.65	138.83	423.02	218.62	116.79	3.85	2.27	0.00	122.91	91.76	20.61	19.14	1.4605396885
06.12.2012	14:10:53	-0.64	18.09	92.37	30.27	108.11	137.79	416.12	217.69	116.42	3.50	1.67	0.00	121.59	91.83	20.83	19.17	1.7942997162
06.12.2012	14:10:56	-0.67	18.23	91.02	30.20	103.35	137.65	416.54	213.67	116.24	2.98	1.66	0.00	120.88	91.81	20.87	19.15	1.1474409137
06.12.2012	14:10:59	-0.64	18.24	89.41	30.34	99.83	136.11	416.95	211.77	117.81	1.75	0.37	1.51	121.44	91.94	20.77	19.26	0.9608994383
06.12.2012	14:11:01	-0.64	18.27	89.79	30.37	99.27	133.80	423.03	210.07	119.15	0.78	0.13	2.24	122.30	91.76	20.77	19.25	0.4335649108
06.12.2012	14:11:04	-0.65	18.28	90.15	30.39	100.19	134.60	429.50	208.78	120.60	0.46	0.00	2.59	123.65	91.76	20.85	19.22	0.1247857110
06.12.2012	14:11:07	-0.64	18.36	90.60	31.06	100.81	134.20	427.57	208.92	119.96	0.53	0.00	2.78	123.27	91.64	20.74	19.35	0.1653489848
06.12.2012	14:11:10	-0.64	18.25	92.45	32.00	101.40	135.43	424.65	210.64	117.82	1.08	0.78	2.54	122.22	91.45	20.84	19.40	0.4170604283
