date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
06.12.2012	13:23:49	-0.63	18.34	185.86	66.68	231.82	294.35	861.98	523.41	258.08	9.07	0.00	0.00	267.15	87.61	20.19	18.56	15.8042899354
06.12.2012	13:23:53	-0.63	18.16	185.09	66.87	236.09	297.13	876.84	529.71	262.25	8.91	0.00	0.00	271.16	87.61	20.28	18.48	15.1847997282
06.12.2012	13:23:56	-0.63	18.37	189.41	67.40	238.67	298.83	885.41	534.57	264.89	8.94	0.00	0.00	273.83	87.67	20.22	18.52	15.1369221639
06.12.2012	13:23:58	-0.63	18.34	190.93	67.94	241.75	299.84	891.67	538.63	266.80	9.02	0.00	0.00	275.82	87.83	20.09	18.70	15.2414190032
06.12.2012	13:24:01	-0.63	18.42	188.61	67.84	242.55	300.84	889.04	541.76	266.35	9.30	0.00	0.00	275.65	87.45	20.00	18.67	16.4025491626
06.12.2012	13:24:04	-0.64	18.31	191.08	67.92	241.62	300.36	893.38	544.05	267.77	8.95	0.00	0.00	276.71	87.51	20.19	18.62	16.3934758005
06.12.2012	13:24:07	-0.63	18.38	189.91	67.18	242.21	299.24	891.91	542.83	267.26	8.93	0.00	0.00	276.19	87.43	20.19	18.69	16.3188455677
06.12.2012	13:24:10	-0.63	18.39	192.56	67.35	241.69	299.51	890.06	542.95	266.88	9.07	0.00	0.00	275.95	87.47	20.27	18.97	16.6123436574
06.12.2012	13:24:12	-0.64	18.46	188.90	67.67	239.61	299.16	892.93	541.47	267.42	8.60	0.00	0.00	276.02	87.40	20.12	18.85	15.8516014848
06.12.2012	13:24:15	-0.64	18.26	188.20	67.27	237.97	299.84	886.34	538.20	265.45	8.89	0.00	0.00	274.34	87.42	20.22	18.96	15.9357654903
