date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
02.10.2012	08:48:38	-0.65	19.81	11.80	4.26	9.46	13.99	37.28	24.83	7.64	0.00	0.58	0.39	8.61	95.63	21.78	20.63	-1.0000000000
02.10.2012	08:48:42	-0.64	19.80	11.87	4.09	9.61	14.11	37.48	24.28	7.58	0.00	0.59	0.43	8.60	95.59	21.63	20.63	-1.0000000000
02.10.2012	08:48:45	-0.64	19.95	11.87	4.03	9.67	14.20	37.91	24.01	7.64	0.00	0.60	0.42	8.66	95.65	21.77	20.58	-1.0000000000
02.10.2012	08:48:48	-0.64	20.03	12.04	4.18	9.65	14.13	38.82	23.72	7.60	0.00	0.74	0.33	8.67	95.71	21.73	20.69	-1.0000000000
02.10.2012	08:48:51	-0.64	20.08	11.82	4.22	9.68	14.26	39.25	24.02	7.98	0.00	0.64	0.30	8.92	95.61	21.90	20.63	-1.0000000000
02.10.2012	08:48:53	-0.64	19.91	11.57	4.30	9.89	14.10	39.88	24.07	8.35	0.00	0.58	0.20	9.13	95.62	21.79	20.77	-1.0000000000
02.10.2012	08:48:56	-0.65	20.14	11.94	4.42	9.97	14.00	39.77	24.00	7.99	0.00	0.72	0.24	8.94	95.49	21.77	20.65	-1.0000000000
02.10.2012	08:48:59	-0.64	19.95	11.73	4.16	9.99	13.65	39.62	24.29	8.14	0.00	0.71	0.11	8.95	95.63	21.80	20.76	-1.0000000000
02.10.2012	08:49:02	-0.64	19.96	11.92	4.08	9.92	13.29	39.06	24.25	7.74	0.00	0.84	0.06	8.65	95.71	21.67	20.89	-1.0000000000
02.10.2012	08:49:05	-0.64	20.03	11.66	4.09	9.79	13.33	38.58	23.99	7.77	0.00	0.74	0.11	8.62	95.65	21.71	20.89	-1.0000000000
