date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
02.10.2012	08:52:16	-0.64	19.89	11.38	4.70	10.49	15.04	43.58	25.07	10.57	0.00	0.00	0.24	10.81	95.97	21.80	20.74	-1.0000000000
02.10.2012	08:52:20	-0.63	20.03	11.67	4.67	10.43	15.21	43.50	25.00	10.45	0.00	0.00	0.33	10.78	96.23	21.84	20.62	-1.0000000000
02.10.2012	08:52:22	-0.64	20.04	11.78	4.64	10.67	15.09	43.26	24.85	9.52	0.00	0.45	0.22	10.19	96.15	21.90	20.74	-1.0000000000
02.10.2012	08:52:25	-0.64	20.01	11.74	4.70	10.67	15.01	43.27	24.91	9.54	0.00	0.45	0.20	10.19	95.96	21.84	20.82	-1.0000000000
02.10.2012	08:52:28	-0.63	19.99	11.86	4.73	10.50	15.32	43.69	25.05	9.60	0.00	0.47	0.22	10.28	96.03	21.78	20.84	-1.0000000000
02.10.2012	08:52:31	-0.66	19.98	11.57	4.69	10.54	15.43	43.44	24.99	10.40	0.00	0.00	0.38	10.77	96.02	21.81	20.95	-1.0000000000
02.10.2012	08:52:34	-0.64	19.96	11.58	4.75	10.53	15.39	42.95	25.12	10.26	0.00	0.00	0.41	10.67	96.02	21.92	20.91	-1.0000000000
02.10.2012	08:52:36	-0.64	19.89	11.84	4.67	10.58	15.67	42.59	25.31	10.08	0.00	0.00	0.54	10.62	96.07	21.90	20.94	-1.0000000000
02.10.2012	08:52:39	-0.64	19.99	11.63	4.72	10.76	15.57	42.60	25.20	10.11	0.00	0.00	0.51	10.61	96.00	21.73	20.98	-1.0000000000
02.10.2012	08:52:42	-0.64	20.01	11.95	4.77	10.87	15.56	42.61	25.11	9.45	0.00	0.31	0.48	10.24	96.00	21.78	21.09	-1.0000000000
