date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
02.10.2012	08:45:15	-0.65	19.95	16.35	5.82	14.16	20.47	57.35	35.97	13.28	0.15	0.76	0.32	14.51	88.39	21.50	20.08	-1.0000000000
02.10.2012	08:45:19	-0.64	19.89	16.53	5.77	14.26	20.59	58.45	37.02	13.53	0.25	0.94	0.00	14.72	88.18	21.43	20.23	-1.0000000000
02.10.2012	08:45:21	-0.66	19.95	16.75	5.97	15.24	20.43	59.80	37.48	13.94	0.25	0.93	0.00	15.12	88.08	21.61	20.22	-1.0000000000
02.10.2012	08:45:24	-0.67	19.94	17.07	6.03	15.97	21.44	58.01	36.95	13.12	0.56	1.05	0.00	14.73	88.20	21.62	20.17	-1.0000000000
02.10.2012	08:45:27	-0.64	19.86	16.67	6.74	15.65	22.50	55.29	36.33	12.92	0.52	0.53	0.67	14.65	88.07	21.47	20.16	-1.0000000000
02.10.2012	08:45:30	-0.66	19.92	16.44	7.51	18.49	24.27	54.76	34.53	12.99	0.98	0.26	0.81	15.04	88.15	21.55	20.38	-1.0000000000
02.10.2012	08:45:33	-0.65	19.92	15.66	6.14	14.58	22.93	54.37	33.30	12.94	0.18	0.00	1.40	14.52	88.42	21.67	20.32	-1.0000000000
02.10.2012	08:45:35	-0.63	19.95	15.17	5.63	14.09	19.56	54.54	33.69	12.83	0.19	0.56	0.28	13.87	88.13	21.56	20.45	-1.0000000000
02.10.2012	08:45:38	-0.64	19.97	14.88	5.47	14.11	19.52	55.29	34.92	13.45	0.24	0.54	0.00	14.23	88.21	21.52	20.37	-1.0000000000
02.10.2012	08:45:41	-0.65	19.96	15.20	5.46	13.48	19.74	54.81	35.45	13.13	0.22	0.63	0.06	14.04	88.30	21.48	20.56	-1.0000000000
