name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Oxalobacteraceae ; Massilia ; Massilia sp,0,0,1.04132769280833,0.0810701256586948,0.0527565286204167,0.126174120285995,0.0196232339089482,2.57048092868988,1.88756668034469,0.0324359390204346,3.28542094455852,0,0,1.72447579854987,10.8374384236453,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Burkholderiaceae ; Burkholderia ; Burkholderia phytofirmans,0,0,0.0650829808005208,0,0,0,0,0,0,0,0,0,0.0202020202020202,0.0685871056241427,0,0,0.0406118857452281,0.165445521153392,0,0,0,0,0
Bacteria ; Bacteroidetes ; Sphingobacteriia ; Sphingobacteriales ; Sphingobacteriaceae ; Pedobacter ; Pedobacter sp,50.6890611541774,0.0359227660529861,0.195248942401562,0,0.290160907412292,0,0,1.60309563294638,0.123102174805088,0,0.0293341155764154,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Xanthomonadales ; Xanthomonadaceae ; Dyella ; Dyella japonica,0,0,0,0,0,0,0,2.1558872305141,0.164136233073451,0,0.909357582868875,0.097799511002445,5.48484848484848,6.37860082304527,0,0,23.5007445512387,0,0,0,0,0,0
Bacteria ; Firmicutes ; Bacilli ; Bacillales ; Paenibacillaceae ; Paenibacillus ; Paenibacillus mendelii,0,0,0,0,0,0,0,0,0,0.713590658449562,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Burkholderiaceae ; Burkholderia ; Burkholderia fungorum,0,0,0,0,0,0,0,0,0.246204349610176,0.810898475510866,0.205338809034908,0,0,0.195963158926122,0,0.0209731543624161,1.06944632462434,0.0236350744504845,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Comamonadaceae ; Delftia ; Delftia tsuruhatensis,0,0,0,0,0,0,0,0,0,2.36782354849173,0,6.60146699266504,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Oxalobacteraceae ; Janthinobacterium ; Janthinobacterium sp,0,0,0,13.1603837319281,0,2.9721015000701,13.0690737833595,0,0.328272466146902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Burkholderiaceae ; Burkholderia ; Burkholderia sordidicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22535763276504,0,0,0.0676864762420468,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Xanthomonadales ; Xanthomonadaceae ; Arenimonas ; Arenimonas malthae,0,0,0,0,0,0,0,0,0.246204349610176,0.551410963347389,0,0,0,0,0,0,0,0,0,0,0,0,0
