name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Pseudomonas veronii,0,0,48,42,0,249,70,0,51,3,3,16,0,0,0,0,0,0,0,25,0,0,0
Achromobacter xylosoxidans::Alcaligenes sp,0,0,0,0,0,0,0,3,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0
Burkholderia oklahomensis,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Cupriavidus basilensis::Ralstonia sp,0,0,0,0,0,15,0,0,11,0,10,1,0,0,0,0,0,0,0,0,0,0,0
Burkholderia phytofirmans::Burkholderia sordidicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Burkholderia phytofirmans,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
Dyella soli::Dyella sp,0,0,0,0,0,0,0,112,27,4,196,18,303,2323,0,0,347,0,0,0,0,0,0
Duganella sp,0,0,0,7,0,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia xenovorans,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Comamonas testosteroni::Comamonas sp,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas trivialis::Pseudomonas sp,0,0,125,84,1,655,151,1,123,9,15,23,0,0,0,0,0,0,0,48,0,0,0
Burkholderia glumae,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Serratia liquefaciens::Rahnella sp,0,0,5,0,0,0,0,28,8,0,31,0,0,67,41,0,0,0,0,0,0,0,0
Aquitalea magnusonii,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia xenovorans::Burkholderia sp,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,7,2,0,0,0,0,0
Pseudomonas chlororaphis,0,0,0,5,0,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia gladioli,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
Serratia proteamaculans::Serratia sp::Pseudomonas sp,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Rhodanobacter sp,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas congelans::Pseudomonas sp::Pseudomonas tremae,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbaspirillum sp,0,0,0,2,0,130,8,0,2,0,0,0,0,0,466,0,0,0,0,10,0,0,0
Pseudomonas syringae,0,0,3,2,0,19,7,0,9,0,2,0,0,0,0,0,0,0,1,0,0,0,0
Duganella zoogloeoides,0,0,0,9,0,16,13,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achromobacter xylosoxidans::Alcaligenes faecalis,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Achromobacter sp::Alcaligenes sp,0,0,0,0,0,0,0,3,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0
Streptococcus mitis,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Comamonas sp,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas trivialis::Pseudomonas sp::Pseudomonas marginalis::Pseudomonas veronii,0,0,51,19,0,266,35,0,39,10,7,5,0,0,0,0,0,0,0,21,0,0,0
Pectobacterium carotovorum,0,0,3,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus epidermidis,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas fluorescens,0,0,10,1,1,1,9,139,32,11,19,5,1,0,0,0,0,0,767,0,0,0,0
Pseudomonas fluorescens::Pseudomonas sp,0,0,1075,883,11,43,1153,814,101,88,63,5,3851,0,0,0,0,0,2974,0,0,0,0
Pseudomonas putida,0,0,63,396,1,5,470,0,60,0,0,0,240,0,0,0,0,0,0,0,0,0,1
Pseudomonas putida::Pseudomonas sp,0,0,307,652,2888,17,675,0,219,8,11,1,194,0,0,0,0,0,0,1,0,0,0
Massilia timonae,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dyella sp,0,0,0,0,1,0,0,38,13,9,46,3,81,774,0,0,224,0,0,0,0,0,0
Halomicronema metazoicum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas veronii::Pseudomonas sp,0,0,0,10,0,10,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Curvibacter gracilis::Curvibacter lanceolatus,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halomicronema excentricum::Aphanocapsa sp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus sp,0,0,0,0,0,0,0,0,20,5,12,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia ambifaria::Burkholderia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pseudomonas jessenii,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geitlerinema sp,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Duganella sp::Janthinobacterium sp,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aminomonas sp::Methylobacillus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Pseudomonas syringae::Pseudomonas sp,0,0,0,2,0,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halomicronema sp::Aphanocapsa sp,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia plantarii,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Methylophaga sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Pseudomonas trivialis::Pseudomonas sp::Pseudomonas chlororaphis::Pseudomonas marginalis,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia ambifaria,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Citrobacter braakii::Citrobacter sp,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas trivialis::Pseudomonas sp::Pseudomonas veronii,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halomicronema sp::Geitlerinema sp,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudoscillatoria coralii,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas antarctica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cronobacter sakazakii::Enterobacter sp,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Buttiauxella noackiae,0,0,6,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolichospermum fallax,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Pseudomonas lutea::Pseudomonas sp,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,32,0,0,0,0
Leifsonia lichenia,0,0,0,0,0,0,0,6,7,0,16,0,0,2,0,0,0,0,0,0,0,0,0
Nocardia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
Pseudomonas fluorescens::Pseudomonas sp::Pseudomonas putida,0,0,0,1,0,1,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Serratia fonticola,0,0,0,24,0,9,54,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Pseudomonas synxantha,0,0,14,15,0,2,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquitalea sp,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoogloea sp,0,0,0,3,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolichospermum fallax::Aphanizomenon cf gracile::Anabaena cylindrica,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacter sp,0,0,9,0,3,9,0,1,11,11,6,0,0,0,3,0,0,0,0,0,0,0,0
Herbaspirillum seropedicae,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Aeromonas sp,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Malikia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13
Aeromonas caviae::Aeromonas enteropelogenes::Aeromonas punctata::Aeromonas sp,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrobacter freundii::Hafnia sp::Citrobacter sp,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Halomicronema sp::Synechococcus sp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serratia entomophila,0,0,0,0,0,0,0,0,24,3,35,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas hydrophila,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas punctata::Aeromonas sp,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionibacterium sp,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Achromobacter xylosoxidans,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,13,0,0,0,0
Prochlorococcus sp,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacter ludwigii::Pantoea sp,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas punctata,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas taiwanensis::Aeromonas sp::Aeromonas punctata,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia vietnamiensis,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0
Variovorax sp,0,0,4,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Massilia sp::Janthinobacterium sp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anabaena sp,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2149,2,5
Serratia proteamaculans::Serratia sp,0,0,21,0,0,1,0,186,44,1,145,0,0,302,445,0,0,0,0,0,0,0,0
Serratia sp,0,0,158,15,7,11,28,580,384,4,888,0,0,1565,3929,0,0,0,36,0,0,0,0
Frateuria sp,0,0,0,0,0,0,0,0,0,1,1,0,1,20,0,0,0,0,0,0,0,0,0
Plectonema cf battersii,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
