"","x"
"1","Badger, M. R., Andrews, T. J., Whitney, S. M., Ludwig, M., Yellowlees, D. C., Leggat, W. & Price, G. D. 1998 The diversity and coevolution of Rubisco , plastids , pyrenoids , and chloroplast-based CO 2 -concentrating mechanisms in algae 1. 1071, 1052_1071. "
"2","Badger, M. R. & Andrews, T. J. 1982 Photosynthesis and Inorganic Carbon Usage by the Marine I-fl. , 517Ð523. "
"3","Volokita, M., Zenvirth, D., Kaplan, a & Reinhold, L. 1984 Nature of the Inorganic Carbon Species Actively Taken Up by the Cyanobacterium Anabaena variabilis. Plant physiology 76, 599Ð602. "
"4","Aizawa, K. 1986 Carbonic anhydrase and CO2 concentrating mechanisms in microalgae and cyanobacteria. FEMS Microbiology Letters 39, 215Ð233. (doi:10.1016/0378-1097(86)90447-7)"
"5","Miller, A. G., Espie, G. S., Canvin, D. T. & Al, M. E. T. 1988 Active Transport of CO2 by the Cyanobacterium Synechococcus UTEX 6251. 625, 677Ð683. "
