"","x"
"1","Wu, Z., Zeng, B., Li, R. & Song, L. 2012 Combined effects of carbon and phosphorus levels on the invasive cyanobacterium, Cylindrospermopsis raciborskii. Phycologia 51, 144_150. (doi:10.2216/10-87.1)"
"2","Gordillo, F. J. L., Jim, C., Figueroa, L. & Niell, F. X. 1999 Effects of increased atmospheric CO 2 and N supply on photosynthesis , growth and cell composition of the cyanobacterium Spirulina platensis ( Arthrospira ). 189305, 461_469. "
"3","King, A. L., Sa_udo-Wilhelmy, S. a, Leblanc, K., Hutchins, D. a & Fu, F. 2011 CO2 and vitamin B12 interactions determine bioactive trace metal requirements of a subarctic Pacific diatom. The ISME journal 5, 1388_96. (doi:10.1038/ismej.2010.211)"
"4","Yang, Y. & Gao, K. 2003 Effects of CO 2 concentrations on the freshwater microalgae , Chlamydomonas reinhardtii , Chlorella pyrenoidosa and Scenedesmus obliquus ( Chlorophyta ). 279, 1_11. "
