date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
23.10.2012	10:38:15	-0.63	18.43	5.65	2.57	5.18	9.35	12.05	13.86	1.76	0.43	0.00	0.21	2.41	62.40	20.24	19.17	89.0009974609
23.10.2012	10:38:19	-0.61	18.56	5.90	2.75	5.38	10.07	12.34	13.93	1.71	0.48	0.00	0.34	2.53	62.04	20.54	19.33	107.5348207687
23.10.2012	10:38:22	-0.60	18.55	6.05	3.06	5.31	9.62	12.53	13.73	1.62	0.36	0.00	0.49	2.47	61.74	20.51	19.16	78.8354244121
23.10.2012	10:38:25	-0.61	18.43	6.01	2.99	5.07	8.91	11.92	13.55	1.45	0.28	0.00	0.51	2.24	61.69	20.51	19.25	81.5461806587
23.10.2012	10:38:27	-0.60	18.53	5.85	3.05	5.02	7.90	11.40	13.17	1.34	0.20	0.00	0.47	2.01	61.63	20.38	19.38	57.1210632447
23.10.2012	10:38:30	-0.62	18.56	5.82	2.73	5.14	7.37	10.85	12.98	0.92	0.38	0.31	0.00	1.61	61.25	20.41	19.29	90.6027944612
23.10.2012	10:38:33	-0.61	18.54	5.65	2.71	5.16	7.20	10.38	13.25	0.98	0.38	0.24	0.00	1.60	61.21	20.46	19.46	167.5746007033
23.10.2012	10:38:36	-0.61	18.56	5.64	2.57	5.69	7.27	10.07	13.22	0.96	0.46	0.21	0.00	1.62	61.12	20.44	19.46	174.8347727081
23.10.2012	10:38:38	-0.61	18.52	5.53	2.62	5.20	7.58	10.06	12.76	0.91	0.45	0.21	0.00	1.56	61.06	20.45	19.55	100.1106047677
23.10.2012	10:38:41	-0.61	18.61	5.48	2.57	4.77	7.03	9.90	12.69	0.81	0.35	0.24	0.00	1.40	60.88	20.45	19.51	150.9832216947
