Growth,CO2,
2.992126,ambient,2.498210364
3.188976,high,2.462419364
1.850394,ambient,
4.488189,high,
1.141732,ambient,
3.149606,high,
2.244094,ambient,
2.322835,high,
1.653543,ambient,
2.677165,high,
1.771654,ambient,
2.598425,high,
