date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
08.10.2012	15:54:06	-0.55	13.96	8.77	3.00	6.19	8.94	16.09	17.55	1.22	0.44	0.96	0.00	2.61	78.54	15.68	12.69	371.5517895272
08.10.2012	15:54:10	-0.55	13.94	9.17	3.15	6.43	7.35	16.73	16.34	0.64	0.27	1.24	0.00	2.16	77.81	15.64	12.75	238.1854856123
08.10.2012	15:54:13	-0.55	13.83	9.36	3.08	5.41	7.01	15.44	15.85	0.00	0.21	1.38	0.00	1.60	78.30	15.45	12.93	249.3746974042
08.10.2012	15:54:15	-0.54	13.97	8.64	2.78	5.88	7.25	15.71	15.50	0.56	0.24	1.13	0.00	1.94	77.39	15.61	12.95	174.3378529710
08.10.2012	15:54:18	-0.57	13.93	7.58	2.66	5.79	7.11	13.86	15.24	0.88	0.29	0.77	0.00	1.93	77.99	15.55	12.97	293.6399951920
08.10.2012	15:54:21	-0.55	13.94	7.36	2.71	4.60	6.92	13.81	14.60	0.75	0.15	0.81	0.00	1.71	77.30	15.67	12.99	190.9990657963
08.10.2012	15:54:24	-0.56	13.98	6.99	2.78	4.40	7.15	14.01	14.50	1.26	0.03	0.49	0.25	2.04	77.26	15.64	13.15	105.5108330905
08.10.2012	15:54:27	-0.55	13.94	7.61	2.82	4.72	7.86	15.95	15.35	1.67	0.00	0.52	0.35	2.54	77.65	15.67	13.17	66.2671945028
08.10.2012	15:54:29	-0.56	14.02	7.72	2.94	5.24	7.97	14.74	15.89	1.16	0.29	0.77	0.00	2.22	76.94	15.65	13.32	247.5727600674
08.10.2012	15:54:32	-0.55	13.84	7.41	3.03	5.32	7.26	14.75	15.42	1.27	0.21	0.70	0.00	2.18	77.35	15.67	13.28	158.4098521865
