Source,Element,Process,Sink,Flux
Atmosphere,N,Anthropogenic,Land,221
Atmosphere,N,Natural,Land,42
Atmosphere,N,Anthropogenic,Oceans,40
Land,N,Anthropogenic,Freshwater,50
Land,N,Natural,Freshwater,30
Freshwater,N,Anthropogenic,Atmosphere,20
Freshwater,N,Natural,Atmosphere,170
Freshwater,N,Anthropogenic,Oceans,50
Freshwater,N,Natural,Oceans,30
Oceans,N,Natural,Atmosphere,234
Mineral reserves,N,Anthropogenic,Atmosphere,25
