id_study,system,y0.n0p0,y0.n1p0,y0.n0p1,y0.n1p1,cat,rn,rp,rnp,rint
EEC002,FRESHWATER,670.708230000002,519.485069999998,670.83659,2109.34980000001,c,-0.25549614283828,0.000191361478909974,1.14580081353057,237.023537045312
EEC004,FRESHWATER,4.25283,4.88067000000002,24.8774,26.8764999999999,a,0.13769786183494,1.76637511711461,1.84366765515579,32.2434708182506
EEC005,FRESHWATER,26.1745,18.1208,33.0200999999999,27.9866000000001,h,-0.36772520462678,0.23233081257759,0.06694016981738,11.5387113411916
EEC007,FRESHWATER,2.92416666700001,3.11666666700001,3.27666666700002,3.78999999999998,g,0.0637545148183201,0.11381710567158,0.25935647917321,10.9717868212047
EEC008,FRESHWATER,2.82166666699999,2.890833333,2.83833333299999,3.82083333299999,g,0.0242170840432302,0.00588929829397995,0.30314082179211,32.3685765112381
EEC009,FRESHWATER,2.98916666699999,3.09583333300001,3.17666666699999,3.87999999999999,g,0.0350624794004003,0.0608377872352302,0.26084051176748,19.9609701789832
EEC010,FRESHWATER,2.9025,3.07583333300001,3.1575,3.70999999999999,g,0.05800343255563,0.0842081406526,0.24545944202943,13.0634510594305
EEC011,FRESHWATER,2.74499999999999,2.96083333299999,3.19250000000001,3.68750000000001,g,0.0756896851708603,0.15102323396307,0.29516764670445,10.1700060837888
EEC012,FRESHWATER,3.14333333299999,3.24916666700001,3.319166667,3.88833333300001,g,0.0331147454378899,0.0544299396347702,0.21269680884835,14.7401908393147
EEC014,TERRESTRIAL,61.4999999999999,103.8,67.1999999999997,106.7,a,0.52342879591932,0.0886360727166301,0.55098398349524,-4.5528455284549
EEC015,TERRESTRIAL,72.5,118.000000000001,53.9999999999998,138.6,b,0.487098062605041,-0.29460251529636,0.64800552489517,53.9310344827576
EEC018,TERRESTRIAL,2395.93999999999,2710.66000000001,2923.86,3644.67000000002,g,0.12341650947197,0.19912902292088,0.419490188179241,16.9490888753475
EEC023,TERRESTRIAL,4.30000000000001,5.59999999999998,4.69999999999999,8.49999999999999,c,0.26415157504158,0.08894748601649,0.68145114079675,58.1395348837217
EEC025,FRESHWATER,80.0999999999997,98.8500000000004,104.72,155.2,c,0.21032769554232,0.26801426752733,0.66143875367481,39.6129837702873
EEC026,FRESHWATER,1.05,1.41,1.92,0.76,h,0.294799540220645,0.603535021870258,-0.323227009871192,-144.761904761905
EEC027,TERRESTRIAL,405.584999999999,357.440000000001,384.120999999999,428.274999999999,g,-0.12636295346375,-0.0543728622250894,0.0544350432719307,22.7570053133123
EEC028,TERRESTRIAL,299.946000000001,410.839999999998,387.953000000001,634.038000000001,c,0.314601385843339,0.25728173981108,0.74850643109534,45.071779586993
EEC029,TERRESTRIAL,263.230999999999,417.015999999998,323.332999999999,743.286000000003,b,0.46009261669675,0.205650778230431,1.03804892295802,101.11575004464
EEC030,TERRESTRIAL,405,720,495,952.500000000004,a,0.575364144903561,0.200670695462151,0.85520303989432,35.1851851851862
EEC031,TERRESTRIAL,4.78251999999999,8.49029000000004,10.3906,9.89429000000003,f,0.57395555333589,0.7759339470415,0.72699021883257,-87.9051211495199
EEC032,TERRESTRIAL,2.4987,3.93628000000001,6.38309000000002,5.42436000000001,f,0.454465518243923,0.937881709500253,0.775129323489743,-95.9022691799745
EEC035,TERRESTRIAL,1759,1966,2243,2701.00000000001,g,0.11125555596955,0.24306878978265,0.42887660905506,14.2694712905068
EEC036,TERRESTRIAL,709.999999999999,910.000000000004,890.000000000004,950.000000000004,g,0.248179629475541,0.225956492690831,0.291197014559231,-19.7183098591558
EEC044,TERRESTRIAL,1,1.25,1.3,1.5,g,0.22314355131421,0.262364264467491,0.405465108108164,-5.00000000000012
EEC048,TERRESTRIAL,360.000000000002,379.000000000001,180,245.000000000001,h,0.0514321736322694,-0.69314718055995,-0.38484582090543,12.777777777778
EEC050,TERRESTRIAL,387.999999999999,370.999999999998,412.000000000002,445,g,-0.0448032770158405,0.0600180097262603,0.13706894254297,12.8865979381441
EEC051,TERRESTRIAL,2.36,1.41,1.22,1.6,h,-0.515071914647442,-0.659810760292354,-0.388657989791783,56.3559322033899
EEC055,TERRESTRIAL,675,1759,701,1469,h,0.95778805386503,0.0377951961620599,0.77762448530135,-46.8148148148147
EEC057,TERRESTRIAL,21.44,20.0700000000001,28.4999999999999,39.0199999999998,c,-0.0660321733943499,0.284645751072,0.59881599899236,55.4570895522382
EEC059,TERRESTRIAL,904.545499999997,1292.855,707.142999999997,1197.405,a,0.3571756225732,-0.24619969907792,0.28047938659106,11.2711300868781
EEC060,TERRESTRIAL,1102.32499999999,1516.63,1032.44,1984.18500000001,c,0.31906918259717,-0.0654966527967893,0.58778666490213,48.7551311999644
EEC063,TERRESTRIAL,4.69000000000001,5.71000000000001,6.84999999999997,19.3,b,0.19678644120973,0.37881606981594,1.41467251345265,243.710021321962
EEC066,TERRESTRIAL,1.43,6.28000000000002,2.85,10.84,d,1.47969553620829,0.689644550008744,2.02556855173968,219.580419580418
EEC067,TERRESTRIAL,1.11,3.65,2.56,7.88999999999998,d,1.19036715227016,0.835647243167228,1.96123611953354,251.351351351349
EEC069,TERRESTRIAL,231.694,342.621999999999,306.963,497.091000000002,a,0.39121026310768,0.28130968360286,0.76335557237924,34.1830172555191
EEC092,TERRESTRIAL,1.605228846,1.49447277,2.391122704,2.269256105,a,-0.0714928471601829,0.398496676677215,0.346185741141631,-0.692145735337681
HLH023,FRESHWATER,0.267024129000001,0.353887399,0.360321716000001,0.376407507,g,0.28163975551051,0.29965826282975,0.343333326617053,-26.5060237309117
HLH228,FRESHWATER,1.721664275,4.01721664299999,1.43472023,0.68866571,h,0.847297860719106,-0.182321556213121,-0.916290731874155,-176.666666792513
HLH279,FRESHWATER,9.52380952399997,10,21.9047619000001,22.53968254,a,0.0487901641494398,0.83290912269772,0.86148249537325,1.66666672196538
HLH315,FRESHWATER,0.0730358760000001,0.329850611,0.139568244000001,1.723455183,d,1.50768908554412,0.64760291346091,3.16113560965736,1817.01415342783
HLH331,FRESHWATER,0.555555556,0.888888889,0.355555555999999,0.444444444,h,0.470003628570735,-0.446287102178421,-0.22314355311421,-44.0000000647998
HLH332,FRESHWATER,0.333333333,0.277777778000001,0.344444444000001,0.366666667000001,g,-0.18232155499395,0.0327898225326703,0.0953101817134202,23.3333334233332
HLH502,FRESHWATER,412.853500000002,670.670000000003,692.319999999997,1278.89999999999,d,0.485184404235269,0.51695546799374,1.13066280395644,79.6320002131496
HLH503,FRESHWATER,3334.87100000001,5639.64800000001,4192.19050000003,17559.7720000001,b,0.525387654254979,0.2287893917287,1.66117660610821,331.731107440139
HLH504,FRESHWATER,2490.1775,3275.35500000003,1598.415,5763.13999999999,h,0.274072267082751,-0.44334147982401,0.83912847198595,135.715124725043
HLH505,FRESHWATER,1967.36,2293.87000000001,1527.09,2739.96499999999,c,0.15354780504062,-0.25332857889206,0.33125260410778,45.0535235035774
HLH527,FRESHWATER,4.90909090900002,18.10909091,5.99999999999997,60,b,1.30532529865494,0.20067069548066,2.50325578847471,831.111111106128
HLH528,FRESHWATER,2.72727272699999,5.12727272699999,3.27272727299999,15.81818182,b,0.63127177688867,0.18232155697729,1.75785791776732,372.000000093868
HLH529,FRESHWATER,1.636363636,3.81818181800001,1.636363636,0.545454545,h,0.847297860561808,0,-1.09861228927922,-200.000000061111
