date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
19.10.2012	10:23:12	-0.68	20.30	6.20	2.60	5.26	7.46	21.76	17.64	4.65	0.00	0.00	0.00	4.65	96.88	21.62	20.03	16.0063478216
19.10.2012	10:23:16	-0.69	20.19	6.32	2.59	5.27	7.54	21.86	18.03	4.71	0.00	0.00	0.00	4.71	96.57	21.62	20.14	18.1006092828
19.10.2012	10:23:18	-0.68	20.27	6.27	2.63	5.64	7.58	22.29	17.88	4.81	0.00	0.00	0.00	4.81	96.82	21.71	20.28	13.2875746969
19.10.2012	10:23:21	-0.69	20.33	6.34	2.59	5.60	7.82	22.55	18.44	4.93	0.00	0.00	0.00	4.93	96.87	21.86	20.30	15.8698006339
19.10.2012	10:23:24	-0.70	20.26	6.29	2.49	5.52	7.83	22.55	18.33	4.91	0.00	0.00	0.00	4.91	96.65	21.77	20.29	15.6163095520
19.10.2012	10:23:27	-0.70	20.28	6.18	2.46	5.43	7.83	22.11	18.18	4.80	0.00	0.00	0.00	4.80	96.88	21.70	20.36	15.8371478609
19.10.2012	10:23:30	-0.69	20.29	6.29	2.51	5.39	7.62	22.06	18.18	4.78	0.00	0.00	0.00	4.78	96.47	21.60	20.45	17.7759027269
19.10.2012	10:23:32	-0.69	20.28	6.11	2.59	5.48	7.61	22.01	17.91	4.74	0.00	0.00	0.00	4.74	96.46	21.74	20.47	15.2012778983
19.10.2012	10:23:35	-0.69	20.31	6.36	2.53	5.35	7.62	21.81	17.95	4.70	0.00	0.00	0.00	4.70	96.53	21.86	20.57	15.7838755510
19.10.2012	10:23:38	-0.69	20.30	6.13	2.60	5.51	7.55	21.57	17.83	4.64	0.00	0.00	0.00	4.64	96.60	21.81	20.65	15.0271832320
