date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
19.10.2012	10:34:57	-0.68	20.48	6.20	2.61	5.51	8.09	16.45	20.34	3.74	0.14	0.00	0.00	3.88	79.71	21.94	20.52	208.3493309849
19.10.2012	10:35:01	-0.69	20.45	6.23	2.97	6.03	7.85	16.35	20.44	3.72	0.17	0.00	0.00	3.89	78.93	22.17	20.58	220.3055944702
19.10.2012	10:35:04	-0.68	20.36	6.09	2.58	5.45	7.65	16.96	20.40	3.89	0.05	0.00	0.00	3.93	77.96	22.00	20.52	186.3486385117
19.10.2012	10:35:06	-0.70	20.39	6.16	2.71	5.17	7.53	16.42	19.99	3.72	0.04	0.00	0.00	3.77	77.20	22.05	20.60	193.2058799539
19.10.2012	10:35:09	-0.69	20.46	6.21	2.51	5.26	7.29	16.35	20.23	3.73	0.03	0.00	0.00	3.76	76.68	22.21	20.64	211.4259353285
19.10.2012	10:35:12	-0.68	20.48	6.23	2.69	5.40	7.30	16.53	20.32	3.78	0.04	0.00	0.00	3.82	76.18	22.15	20.69	206.5326832282
19.10.2012	10:35:15	-0.68	20.44	6.04	2.64	5.35	7.57	16.31	20.21	3.71	0.07	0.00	0.00	3.78	75.73	21.97	20.82	211.2414822442
19.10.2012	10:35:17	-0.69	20.48	6.13	2.58	5.42	7.53	16.53	20.47	3.79	0.06	0.00	0.00	3.85	75.61	22.12	20.85	214.1960074503
19.10.2012	10:35:20	-0.68	20.57	6.11	2.65	5.42	7.63	16.76	20.58	3.86	0.06	0.00	0.00	3.91	75.31	22.07	20.91	207.3065662387
19.10.2012	10:35:23	-0.68	20.67	6.11	2.53	5.56	7.51	16.79	20.79	3.88	0.05	0.00	0.00	3.94	75.02	21.95	20.98	217.6441406359
