date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
11.12.2012	11:15:37	-0.76	18.58	58.27	20.80	72.93	91.51	274.84	176.40	81.77	2.13	0.00	0.00	83.91	92.65	20.89	19.20	21.3675032844
11.12.2012	11:15:41	-0.76	18.60	58.86	21.02	72.91	91.40	277.28	176.76	82.44	1.99	0.00	0.00	84.44	92.53	20.71	18.95	20.3725253400
11.12.2012	11:15:44	-0.76	18.37	59.21	21.76	72.82	93.10	281.79	177.56	83.62	1.94	0.00	0.00	85.56	92.36	20.83	19.12	18.6233212292
11.12.2012	11:15:47	-0.75	18.48	60.68	22.07	75.91	94.60	290.32	182.56	86.19	1.94	0.00	0.00	88.12	92.36	20.85	19.06	18.5429738028
11.12.2012	11:15:50	-0.76	18.51	60.59	22.18	76.16	96.64	293.95	184.96	87.28	1.97	0.00	0.00	89.25	92.19	20.66	19.06	18.7042761526
11.12.2012	11:15:52	-0.76	18.62	60.97	22.44	76.60	98.31	293.62	185.60	87.22	2.24	0.00	0.00	89.46	92.08	20.78	19.13	19.2401593069
11.12.2012	11:15:55	-0.76	18.54	60.64	21.84	77.42	98.14	291.36	186.73	86.74	2.40	0.00	0.00	89.14	92.20	20.97	19.29	21.3923914013
11.12.2012	11:15:58	-0.77	18.61	59.05	21.23	76.26	95.24	286.41	185.39	85.42	2.20	0.00	0.00	87.63	92.01	20.83	19.32	23.2416174781
11.12.2012	11:16:01	-0.77	18.57	59.07	21.09	74.26	93.15	282.80	180.77	84.16	2.00	0.00	0.00	86.15	92.04	20.92	19.48	21.0175351620
11.12.2012	11:16:04	-0.77	18.61	58.73	21.34	72.51	91.59	279.96	177.16	83.16	1.82	0.00	0.00	84.98	91.92	20.86	19.34	19.3630726284
