,X,OTU,Domain,Genus
168,168,745, Bacteria,NA
169,169,746, Bacteria,  Rhizobium
170,170,750, Bacteria, Pseudomonas
171,171,751, Eukaryota,NA
172,172,767, Bacteria, Mesorhizobium
173,173,770, Bacteria, Pseudomonas
174,174,779, Bacteria,NA
175,175,798, Bacteria, Burkholderia
176,176,805, Eukaryota, Trichosporon
177,177,810, Eukaryota, Asterotremella
178,178,817, Bacteria,NA
179,179,825, Bacteria, Serratia
180,180,836, Eukaryota, Trichosporon
181,181,838, Eukaryota, Trichoderma
182,182,841, Bacteria, Pseudomonas
183,183,850, Bacteria,NA
184,184,852, Bacteria, Burkholderia
185,185,854, Eukaryota, Mortierella
186,186,861, Eukaryota,NA
187,187,866, Eukaryota,NA
188,188,867, Bacteria,NA
189,189,869, Eukaryota, Umbelopsis
190,190,873, Bacteria, Methylobacterium
191,191,876,unassigned,NA
192,192,879, Bacteria, Dyella
193,193,882, Bacteria, Janthinobacterium
194,194,895, Eukaryota, Cryptococcus
195,195,897, Bacteria, Serratia
196,196,898, Bacteria,NA
197,197,910, Eukaryota, Umbelopsis
198,198,919, Eukaryota, Penicillium
199,199,925, Eukaryota,NA
200,200,932, Eukaryota, Trichoderma
201,201,934, Bacteria, Cohnella
202,202,939, Eukaryota, Cryptococcus
203,203,941, Bacteria,  Rhizobium
204,204,947, Bacteria, Serratia
205,205,950, Bacteria, Serratia
206,206,955, Bacteria, Burkholderia
207,207,958,unassigned,NA
208,208,965,unassigned,NA
209,209,970,unassigned,NA
210,210,981, Bacteria, Pseudomonas
211,211,992, Bacteria, Chitinophaga
212,212,1006, Eukaryota,NA
213,213,1022, Eukaryota, Umbelopsis
214,214,1023, Eukaryota, Umbelopsis
215,215,1026, Eukaryota, Trichosporon
216,216,1030, Eukaryota, Cryptococcus
217,217,1031, Eukaryota, Cryptococcus
218,218,1056, Bacteria,NA
219,219,1059, Eukaryota, Trichoderma
220,220,1060, Eukaryota, Cryptococcus
221,221,1064, Eukaryota, Trichosporon
222,222,1067, Eukaryota, Cryptococcus
223,223,1069, Bacteria,NA
224,224,1079, Eukaryota,NA
225,225,1080, Eukaryota, Asterotremella
226,226,1082, Eukaryota, Umbelopsis
227,227,1084, Eukaryota, Penicillium
228,228,1086, Bacteria, Malikia
229,229,1087, Bacteria, Sphingobium
230,230,1092, Bacteria, Paenibacillus
231,231,1122, Eukaryota, Mortierella
232,232,1125, Eukaryota, Umbelopsis
233,233,1127, Eukaryota, Asterotremella
234,234,1128, Bacteria, Serratia
235,235,1154, Eukaryota, Trichosporon
236,236,1155, Bacteria, Pseudomonas
237,237,1161, Bacteria, Burkholderia
