date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
05.10.2012	08:45:16	-0.69	23.10	41.59	14.62	47.10	63.03	237.54	120.99	66.56	0.00	0.00	0.00	66.56	72.68	24.48	22.93	3.7343828248
05.10.2012	08:45:20	-0.68	22.92	41.47	14.59	47.04	64.91	235.99	119.82	66.22	0.00	0.00	0.00	66.22	69.30	24.52	22.81	2.9044256958
05.10.2012	08:45:23	-0.68	22.87	41.84	14.48	45.70	60.67	233.33	117.80	65.17	0.00	0.00	0.00	65.17	66.09	24.39	22.92	3.8836284050
05.10.2012	08:45:26	-0.68	23.03	39.67	14.08	44.87	59.08	230.24	116.14	64.14	0.00	0.00	0.00	64.14	63.21	24.54	23.15	4.6999235474
05.10.2012	08:45:28	-0.68	22.87	39.61	13.80	44.27	58.47	226.52	114.34	63.12	0.00	0.00	0.00	63.12	60.59	24.47	23.11	4.3768398848
05.10.2012	08:45:31	-0.68	23.04	38.84	13.73	43.36	57.18	222.53	112.82	61.98	0.00	0.00	0.00	61.98	58.40	24.45	23.14	4.6850227086
05.10.2012	08:45:34	-0.66	23.09	38.59	13.22	43.07	56.76	222.25	112.01	61.79	0.00	0.00	0.00	61.79	56.31	24.59	23.18	4.8685293214
05.10.2012	08:45:37	-0.67	23.06	38.24	13.22	42.64	56.45	219.31	111.10	61.04	0.00	0.00	0.00	61.04	54.59	24.46	23.22	4.6998914105
05.10.2012	08:45:39	-0.67	22.95	37.51	13.07	42.45	55.50	216.39	109.52	60.18	0.00	0.00	0.00	60.18	52.91	24.49	23.25	4.7063340416
05.10.2012	08:45:42	-0.68	23.06	38.01	12.97	42.22	54.65	215.33	108.23	59.79	0.00	0.00	0.00	59.79	51.42	24.45	23.25	4.6324175703
