date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
10.10.2012	12:01:03	-0.73	18.58	18.49	6.69	20.03	25.89	116.03	69.48	31.68	0.00	0.00	0.00	31.68	62.64	20.61	19.17	27.2449357184
10.10.2012	12:01:07	-0.71	18.48	18.37	6.48	19.84	25.79	115.25	68.81	31.43	0.00	0.00	0.00	31.43	62.68	20.70	19.13	26.8992602957
10.10.2012	12:01:09	-0.74	18.40	18.13	6.53	20.09	25.65	114.49	68.74	31.26	0.00	0.00	0.00	31.26	62.71	20.78	19.22	27.0863924295
10.10.2012	12:01:12	-0.72	18.43	18.62	6.63	20.90	25.88	114.52	68.64	31.33	0.00	0.00	0.00	31.33	62.63	20.72	19.24	24.6939100350
10.10.2012	12:01:15	-0.73	18.45	18.53	6.79	21.63	27.45	114.28	69.01	31.44	0.00	0.00	0.00	31.44	62.83	20.93	19.46	21.7637652976
10.10.2012	12:01:18	-0.73	18.41	18.62	6.82	20.00	26.97	114.58	68.62	31.37	0.00	0.00	0.00	31.37	62.68	20.66	19.37	23.8146789968
10.10.2012	12:01:21	-0.72	18.55	18.58	6.72	19.83	25.57	115.26	68.72	31.42	0.00	0.00	0.00	31.42	62.54	20.73	19.44	26.8631664959
10.10.2012	12:01:23	-0.73	18.53	18.03	6.63	19.78	25.74	114.75	68.61	31.29	0.00	0.00	0.00	31.29	62.64	20.79	19.56	27.1929703609
10.10.2012	12:01:26	-0.73	18.63	18.20	6.58	19.89	25.45	115.08	69.08	31.40	0.00	0.00	0.00	31.40	62.59	20.78	19.55	28.1994735523
10.10.2012	12:01:29	-0.72	18.47	18.29	6.71	19.96	25.44	115.37	68.89	31.45	0.00	0.00	0.00	31.45	62.24	20.70	19.56	27.5599579779
