date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
10.10.2012	12:10:14	-0.73	18.73	17.06	6.39	16.84	22.22	64.53	44.46	17.10	0.30	0.33	0.00	17.74	67.06	20.59	19.28	18.0512713186
10.10.2012	12:10:18	-0.72	18.78	17.08	6.27	16.75	22.51	64.39	44.48	17.07	0.33	0.33	0.00	17.73	66.87	20.67	19.40	18.3295067211
10.10.2012	12:10:21	-0.72	18.71	16.98	6.26	16.77	22.11	64.68	44.40	17.20	0.27	0.31	0.00	17.77	66.92	20.68	19.26	17.3209291497
10.10.2012	12:10:24	-0.74	18.75	17.25	6.30	16.78	22.10	65.24	44.56	17.16	0.24	0.39	0.00	17.80	66.74	20.67	19.37	17.1769763813
10.10.2012	12:10:27	-0.72	18.82	17.06	6.35	16.79	22.31	65.00	44.61	17.29	0.27	0.31	0.00	17.87	66.66	20.65	19.38	17.4103162720
10.10.2012	12:10:29	-0.74	18.79	17.31	6.40	16.79	22.66	64.76	44.34	16.95	0.34	0.42	0.00	17.71	66.54	20.80	19.53	17.3366867789
10.10.2012	12:10:32	-0.74	18.74	16.82	6.45	17.06	22.52	64.99	44.67	17.55	0.32	0.19	0.00	18.05	66.18	20.70	19.59	16.8828309374
10.10.2012	12:10:35	-0.73	18.91	16.82	6.33	17.17	22.33	64.39	44.73	17.39	0.34	0.20	0.00	17.93	66.15	20.67	19.51	18.5918952936
10.10.2012	12:10:38	-0.74	18.81	17.14	6.28	16.80	22.15	64.94	44.68	17.21	0.26	0.34	0.00	17.82	66.12	20.72	19.66	18.0832592612
10.10.2012	12:10:40	-0.72	18.70	17.14	6.29	16.80	22.04	64.46	44.13	16.92	0.28	0.40	0.00	17.59	65.99	20.71	19.68	17.2216621264
