date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
12.10.2012	17:55:14	-0.58	18.22	15.99	4.54	8.44	12.54	33.83	23.14	2.02	0.23	2.76	0.13	5.14	80.23	20.61	19.05	20.0131668293
12.10.2012	17:55:18	-0.56	18.17	16.32	4.69	8.87	13.95	35.39	23.31	2.91	0.00	2.22	0.94	6.06	80.52	20.67	19.07	9.1905197452
12.10.2012	17:55:21	-0.57	18.16	15.88	4.81	10.46	13.91	36.23	25.23	3.59	0.48	2.44	0.00	6.51	80.90	20.71	19.09	23.6377223224
12.10.2012	17:55:24	-0.55	18.19	15.82	4.45	9.72	13.38	33.72	25.07	2.75	0.48	2.54	0.00	5.77	81.36	20.62	19.10	63.7883235728
12.10.2012	17:55:27	-0.56	18.17	15.79	4.36	9.09	12.82	33.32	23.99	2.28	0.39	2.67	0.00	5.34	81.49	20.61	19.37	42.8581578535
12.10.2012	17:55:29	-0.56	18.10	15.54	4.60	8.89	13.12	34.84	23.69	3.01	0.22	2.41	0.21	5.86	81.72	20.62	19.02	15.3634765654
12.10.2012	17:55:32	-0.55	18.19	16.21	4.65	9.20	13.72	34.47	23.95	2.35	0.42	2.73	0.07	5.57	82.14	20.72	19.23	26.5137415937
12.10.2012	17:55:35	-0.57	18.12	16.21	4.36	8.67	13.14	33.35	23.53	1.78	0.40	2.88	0.00	5.06	82.50	20.65	19.30	34.9609710429
12.10.2012	17:55:38	-0.57	18.18	16.27	4.48	8.51	13.31	33.48	22.66	1.95	0.13	2.53	0.64	5.25	82.71	20.72	19.46	16.4101882676
12.10.2012	17:55:41	-0.56	18.16	15.71	4.44	8.98	13.68	35.90	23.56	3.46	0.07	2.17	0.60	6.30	82.94	20.74	19.44	6.3395890063
