date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
14.11.2012	10:24:50	-0.52	19.24	107.64	27.85	80.75	106.11	349.09	174.53	66.52	2.11	15.06	0.00	83.68	60.74	21.39	19.58	2.0298786538
14.11.2012	10:24:54	-0.52	19.25	106.28	27.92	80.57	105.80	349.65	174.22	67.78	1.97	14.54	0.00	84.30	60.78	21.43	19.69	1.7517126634
14.11.2012	10:24:57	-0.52	19.34	107.37	27.69	80.46	106.35	346.90	174.26	66.02	2.22	15.02	0.00	83.26	60.50	21.11	19.79	2.3039467920
14.11.2012	10:25:00	-0.50	19.22	106.99	27.80	80.87	106.35	350.12	175.48	67.68	2.05	14.69	0.00	84.43	60.57	21.27	19.65	2.1156982321
14.11.2012	10:25:03	-0.51	19.26	108.21	28.18	81.41	107.31	352.88	176.15	67.70	2.10	15.01	0.00	84.81	60.29	21.33	19.78	1.9196242214
14.11.2012	10:25:05	-0.50	19.26	109.28	28.04	82.55	109.01	356.42	177.37	68.38	2.22	15.14	0.00	85.74	60.17	21.27	19.93	1.6982158107
14.11.2012	10:25:08	-0.52	19.26	107.89	28.42	82.87	109.88	358.51	179.19	70.78	2.17	14.37	0.00	87.32	60.21	21.22	19.95	1.8209017552
14.11.2012	10:25:11	-0.51	19.34	108.29	28.47	84.20	111.66	361.11	180.82	71.89	2.35	14.21	0.00	88.45	60.31	21.33	20.11	1.8376051424
14.11.2012	10:25:14	-0.51	19.30	109.93	28.74	85.15	112.81	364.17	182.03	71.82	2.45	14.63	0.00	88.90	60.18	21.29	20.00	1.7871802991
14.11.2012	10:25:17	-0.52	19.29	110.36	28.74	85.95	113.32	365.32	183.62	72.31	2.52	14.60	0.00	89.43	60.04	21.23	20.12	2.0989984301
