date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
14.11.2012	10:12:28	-0.50	19.11	66.14	23.04	78.93	100.79	344.17	189.36	100.26	0.00	0.00	0.00	100.26	92.60	20.78	19.26	4.9624812271
14.11.2012	10:12:32	-0.44	19.12	64.83	25.08	83.33	101.70	345.14	190.13	100.47	0.42	0.00	0.00	100.88	92.65	20.93	19.31	5.2503485570
14.11.2012	10:12:34	-0.50	19.02	67.48	23.48	79.28	101.98	347.24	188.96	101.01	0.00	0.00	0.00	101.01	92.72	20.86	19.15	4.1449694913
14.11.2012	10:12:37	-0.52	19.32	67.25	22.99	79.34	101.54	349.35	190.42	101.56	0.00	0.00	0.00	101.56	92.34	20.95	19.31	4.3738238458
14.11.2012	10:12:40	-0.52	19.24	68.10	23.10	78.32	102.76	352.72	190.93	102.37	0.00	0.00	0.00	102.37	92.53	20.94	19.40	3.9794476552
14.11.2012	10:12:43	-0.51	19.10	67.53	23.35	78.78	103.79	353.14	192.19	102.64	0.00	0.00	0.00	102.64	92.21	20.83	19.44	4.3209384963
14.11.2012	10:12:46	-0.51	19.20	67.69	23.40	80.92	102.99	357.07	193.08	103.61	0.00	0.00	0.00	103.61	92.29	20.81	19.47	4.0036804227
14.11.2012	10:12:48	-0.52	19.04	67.90	23.31	79.72	102.57	354.78	192.89	103.04	0.00	0.00	0.00	103.04	92.10	20.86	19.66	4.3228838657
14.11.2012	10:12:51	-0.52	19.14	67.99	23.79	80.28	103.56	353.47	193.71	102.94	0.00	0.00	0.00	102.94	92.03	20.75	19.55	4.7429370476
14.11.2012	10:12:54	-0.52	19.13	68.28	23.83	80.94	103.26	357.52	195.99	104.03	0.00	0.00	0.00	104.03	91.86	20.85	19.82	4.9286644386
