date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
14.10.2012	09:17:08	-0.66	18.20	87.16	34.85	78.22	112.28	306.94	178.59	74.92	2.87	5.25	3.53	86.56	75.76	19.84	18.14	15.2528982111
14.10.2012	09:17:12	-0.65	18.02	87.88	35.10	77.36	111.61	307.63	179.19	74.65	2.58	5.38	3.80	86.42	76.53	20.01	18.29	15.9755708953
14.10.2012	09:17:14	-0.65	18.09	89.07	35.64	77.17	111.61	304.10	178.87	72.34	2.85	6.03	3.75	84.97	76.70	20.05	18.32	18.4440862747
14.10.2012	09:17:17	-0.65	18.13	88.70	35.28	75.76	110.64	302.88	176.97	72.25	2.26	5.50	4.71	84.71	77.01	20.00	18.30	17.3902047032
14.10.2012	09:17:20	-0.64	18.20	88.13	35.40	76.14	109.83	303.51	176.53	72.56	2.31	5.56	4.33	84.76	77.29	19.95	18.46	16.4686827237
14.10.2012	09:17:23	-0.65	18.25	87.48	35.77	75.96	111.03	303.02	177.37	73.91	1.99	4.53	5.35	85.78	77.39	19.92	18.45	16.9603483868
14.10.2012	09:17:26	-0.66	18.19	87.44	35.77	75.65	111.80	304.82	177.23	75.30	1.41	3.62	6.59	86.91	77.59	19.95	18.47	15.5757335841
14.10.2012	09:17:28	-0.64	18.03	89.02	35.92	76.00	111.28	306.21	177.44	73.90	1.65	4.68	5.92	86.15	77.24	19.87	18.63	15.8679385210
14.10.2012	09:17:31	-0.67	18.14	88.33	35.88	75.96	110.58	305.99	176.79	74.16	1.61	4.56	5.80	86.13	77.57	19.99	18.63	15.2278929192
14.10.2012	09:17:34	-0.65	18.17	88.79	35.75	76.09	110.44	306.59	176.85	73.74	1.74	4.95	5.45	85.88	77.59	19.96	18.69	15.1932891067
