name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Fungi ; Ascomycota ; Sordariomycetes ; Hypocreales ; Hypocreaceae ; Hypocrea ; Hypocrea rufa,58.1825950719271,99.5440729483283,73.0029955067399,22.4133792110106,95.9088509590005,65.7318141980718,9.06990964060059,99.6830172460108,79.9653829511034,0.0402927943052851,0,33.1192169457827,0.117647058823529,98.5542168674699,99.3131868131868,0.00630715862503942,0.037259366590768,0
Fungi ; Basidiomycota ; Tremellomycetes ; Tremellales ; Tremellales (family) ; Trichosporon (Trichosporonales) ; Trichosporon porosum,6.08175473579262,0,16.9870194707938,0,1.57487242653528,10.6047326906223,1.97024254365106,0,0,6.05063461151031,1.16085282455031,0.0841171522520456,2.82352941176471,0.0642570281124498,0.337162837162837,99.9306212551246,99.8882219002276,0.251046025104603
Fungi ; Basidiomycota ; Tremellomycetes ; Tremellales ; Tremellales (family) ; Cryptococcus (Tremellales) ; Cryptococcus aureus,0,0,0,0.0160038409218212,0,0,0.271757592227733,0,0,0.013430931435095,0,65.7796130610996,0.0180995475113122,0,0,0.0126143172500788,0,0
Fungi ; Basidiomycota ; Tremellomycetes ; Tremellales ; Tremellaceae ; Papiliotrema ; Papiliotrema bandonii,0,0,0,67.680243258382,0,4.92988606485538,8.47204293769957,0,0.043271311120727,0,0.0114935923222803,0.259998470597232,0,0,0,0,0,0
Fungi ; Ascomycota ; Leotiomycetes ; Leotiomycetes (order) ; Leotiomycetes (family) ; Geomyces (Helotiales) ; Geomyces destructans,0.797607178464605,0,0.137294058911633,4.20100824197807,0,0,0.02038181941708,0,0,0,0,0,0,0,0,0,0,0
Fungi ; Basidiomycota ; Tremellomycetes ; Filobasidiales ; Filobasidiales (family) ; Cryptococcus (Filobasidiales) ; Cryptococcus vishniacii,0,0,0.0873689465801298,0,0,0,72.4777498471364,0,0,0.0201463971526425,0,0.0229410415232852,95.4117647058823,0.0160642570281124,0,0,0,0
Fungi ; Ascomycota ; Eurotiomycetes ; Eurotiales ; Trichocomaceae ; Penicillium ; Penicillium janthinellum,0.626691354507905,0,0.149775336994508,0,0.915009677986979,13.1682734443471,0.156260615530946,0,18.3037646040675,87.8047142569337,0,0.428232775101323,0,0.257028112449799,0,0.00630715862503942,0,0
Fungi ; Chytridiomycota ; Monoblepharidomycetes ; Monoblepharidales ; Oedogoniomycetaceae ; Hyaloraphidium ; Hyaloraphidium curvatum,0,0,0,0.192046091061855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungi ; Basidiomycota ; Tremellomycetes ; Tremellales ; Tremellales (family) ; Bullera (Tremellales) ; Bullera ninhbinhensis,0,0,0,0,0,0,0.0611454582512399,0,0,0.00671546571754751,3.55152002758462,0.0611761107287604,0,0,0,0,0,0
Fungi ; Ascomycota ; Eurotiomycetes ; Eurotiales ; Trichocomaceae ; Eurotium ; Eurotium cristatum,0,0,0,0,0,0,0,0,0.173085244482908,1.27593848633403,0,0.0229410415232852,0,0,0,0,0,0
Fungi ; Fungi (phylum) ; Fungi (class) ; Mortierellales ; Mortierellaceae ; Mortierella ; Mortierella minutissima,0,0,0,1.880451308314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
