Data Audit Trail

Date,User,Event,Comment
7/11/2014 4:56:50 PM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
7/11/2014 4:59:09 PM,User,Plate read started,
7/11/2014 4:59:49 PM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.080,0.079,0.078,0.077,0.075,0.074,0.073,0.073,660
B,0.116,0.723,1.022,0.549,1.979,1.622,0.075,0.073,660
C,0.075,0.083,0.753,0.446,0.080,0.084,0.074,0.074,660
D,0.097,0.098,0.600,0.117,1.101,1.417,0.075,0.074,660
E,0.074,0.093,0.570,0.103,0.578,0.839,0.074,0.075,660
F,0.077,0.075,0.074,0.077,0.075,0.074,0.074,0.073,660

