Data Audit Trail

Date,User,Event,Comment
7/14/2014 11:59:39 AM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
7/14/2014 12:00:05 PM,User,Plate read started,
7/14/2014 12:00:44 PM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.075,0.076,0.075,0.076,0.074,0.074,0.074,0.073,660
B,0.075,1.259,1.285,0.708,2.003,1.992,0.075,0.073,660
C,0.076,0.080,1.088,1.102,0.080,0.082,0.074,0.073,660
D,0.075,0.099,0.602,0.114,1.689,1.594,0.076,0.074,660
E,0.076,0.090,0.713,0.091,0.716,0.910,0.075,0.073,660
F,0.074,0.074,0.075,0.075,0.074,0.074,0.074,0.074,660

