Data Audit Trail

Date,User,Event,Comment
6/24/2014 11:31:20 AM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/24/2014 11:33:02 AM,User,Plate read started,
6/24/2014 11:33:41 AM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.081,0.078,0.076,0.075,0.076,0.076,0.076,0.076,660
B,0.076,0.088,0.086,0.083,0.088,0.086,0.077,0.077,660
C,0.075,0.080,0.082,0.078,0.080,0.081,0.075,0.075,660
D,0.076,0.095,0.097,0.097,0.103,0.106,0.079,0.134,660
E,0.076,0.080,0.081,0.080,0.083,0.085,0.077,0.076,660
F,0.081,0.078,0.077,0.078,0.076,0.077,0.078,0.070,660

