Data Audit Trail

Date,User,Event,Comment
7/1/2014 3:27:36 PM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
7/1/2014 3:30:03 PM,User,Plate read started,
7/1/2014 3:30:42 PM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.077,0.083,0.079,0.075,0.074,0.074,0.074,0.074,660
B,0.075,0.649,0.404,0.328,0.871,0.873,0.075,0.075,660
C,0.074,0.081,0.389,0.247,0.080,0.082,0.075,0.073,660
D,0.076,0.093,0.113,0.102,1.034,1.034,0.079,0.074,660
E,0.079,0.085,0.139,0.089,0.124,0.370,0.076,0.075,660
F,0.081,0.081,0.078,0.075,0.075,0.078,0.078,0.075,660

