Data Audit Trail

Date,User,Event,Comment
7/14/2014 11:59:39 AM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
7/14/2014 12:10:24 PM,User,Plate read started,
7/14/2014 12:11:03 PM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.075,0.075,0.074,0.074,0.075,0.075,0.078,0.073,660
B,0.075,1.397,1.347,1.173,2.109,1.977,0.074,0.073,660
C,0.075,0.082,0.735,0.696,0.079,0.081,0.074,0.073,660
D,0.075,0.102,0.860,0.107,1.876,1.250,0.079,0.074,660
E,0.077,0.093,0.706,0.098,0.718,0.955,0.074,0.074,660
F,0.074,0.074,0.075,0.075,0.078,0.075,0.074,0.073,660

