Data Audit Trail

Date,User,Event,Comment
6/30/2014 11:53:07 AM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/30/2014 11:56:03 AM,User,Plate read started,
6/30/2014 11:56:42 AM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.084,0.085,0.079,0.076,0.077,0.076,0.075,0.077,660
B,0.082,0.556,0.339,0.219,0.778,0.659,0.079,0.161,660
C,0.081,0.081,0.330,0.255,0.090,0.082,0.074,0.084,660
D,0.082,0.101,0.106,0.102,0.945,0.879,0.078,0.082,660
E,0.076,0.087,0.115,0.085,0.103,0.287,0.076,0.079,660
F,0.086,0.080,0.079,0.078,0.076,0.076,0.076,0.088,660

