Data Audit Trail

Date,User,Event,Comment
7/10/2014 5:01:36 PM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
7/10/2014 5:03:25 PM,User,Plate read started,
7/10/2014 5:04:08 PM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.074,0.075,0.074,0.075,0.074,0.074,0.074,0.073,660
B,0.078,1.321,0.926,0.541,1.892,1.610,0.075,0.073,660
C,0.075,0.080,0.852,0.189,0.079,0.081,0.074,0.073,660
D,0.076,0.099,0.569,0.109,1.704,1.266,0.074,0.077,660
E,0.075,0.093,0.437,0.097,0.560,1.337,0.074,0.073,660
F,0.074,0.074,0.075,0.074,0.074,0.074,0.074,0.073,660

