Data Audit Trail

Date,User,Event,Comment
6/27/2014 11:09:35 AM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/27/2014 11:12:33 AM,User,Plate read started,
6/27/2014 11:13:14 AM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.083,0.088,0.082,0.079,0.079,0.077,0.084,0.154,660
B,0.083,0.253,0.141,0.095,0.348,0.332,0.080,0.178,660
C,0.084,0.082,0.141,0.105,0.098,0.087,0.082,0.083,660
D,0.084,0.106,0.100,0.108,0.342,0.389,0.081,0.091,660
E,0.078,0.095,0.096,0.085,0.105,0.134,0.076,0.081,660
F,0.079,0.080,0.081,0.080,0.077,0.078,0.078,0.094,660

