Data Audit Trail

Date,User,Event,Comment
6/30/2014 11:53:07 AM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/30/2014 11:54:03 AM,User,Plate read started,
6/30/2014 11:54:44 AM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.082,0.085,0.080,0.078,0.077,0.084,0.076,0.084,660
B,0.075,0.493,0.373,0.097,0.676,0.782,0.081,0.086,660
C,0.076,0.085,0.357,0.294,0.083,0.084,0.077,0.077,660
D,0.076,0.097,0.112,0.100,0.883,0.812,0.077,0.078,660
E,0.081,0.097,0.125,0.088,0.113,0.304,0.077,0.075,660
F,0.083,0.079,0.080,0.079,0.078,0.077,0.080,0.078,660

