Data Audit Trail

Date,User,Event,Comment
6/26/2014 11:13:01 AM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/26/2014 11:13:32 AM,User,Plate read started,
6/26/2014 11:14:11 AM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.087,0.086,0.082,0.081,0.079,0.084,0.079,0.103,660
B,0.080,0.130,0.103,0.087,0.184,0.216,0.080,0.080,660
C,0.078,0.081,0.106,0.101,0.080,0.081,0.079,0.084,660
D,0.076,0.098,0.097,0.099,0.218,0.173,0.077,0.089,660
E,0.078,0.089,0.090,0.086,0.092,0.109,0.076,0.075,660
F,0.079,0.078,0.085,0.080,0.079,0.077,0.079,0.077,660

