Data Audit Trail

Date,User,Event,Comment
7/7/2014 1:46:34 PM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
7/7/2014 1:49:37 PM,User,Plate read started,
7/7/2014 1:50:28 PM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.075,0.076,0.075,0.076,0.075,0.075,0.074,0.073,660
B,0.075,1.040,0.792,0.498,1.602,1.478,0.075,0.075,660
C,0.076,0.079,0.226,0.336,0.080,0.082,0.075,0.073,660
D,0.077,0.099,0.296,0.102,1.373,1.271,0.078,0.075,660
E,0.075,0.089,0.409,0.097,0.398,0.686,0.077,0.075,660
F,0.076,0.076,0.076,0.076,0.076,0.076,0.079,0.076,660

