date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
20.11.2012	12:02:01	-0.68	17.38	5.06	2.24	4.69	6.71	11.97	15.93	2.20	0.15	0.00	0.00	2.35	92.25	19.19	17.75	216.2425973598
20.11.2012	12:02:05	-0.66	17.40	5.13	2.21	4.59	6.77	12.04	16.07	2.24	0.14	0.00	0.00	2.38	92.48	19.46	17.73	223.0211388026
20.11.2012	12:02:07	-0.67	17.36	5.19	2.38	4.55	6.58	11.84	15.89	2.18	0.13	0.00	0.00	2.31	92.50	19.25	17.92	226.2388058662
20.11.2012	12:02:10	-0.68	17.38	4.95	2.34	4.39	6.72	11.40	16.17	2.09	0.15	0.00	0.00	2.24	92.18	19.17	18.06	314.9887738058
20.11.2012	12:02:13	-0.66	17.30	5.25	2.29	4.63	6.54	11.63	15.86	2.12	0.15	0.00	0.00	2.27	92.13	19.20	17.96	245.0465542666
20.11.2012	12:02:16	-0.66	17.33	5.06	2.39	4.52	6.35	11.58	15.87	2.11	0.11	0.00	0.00	2.23	92.13	19.21	18.08	255.1772466227
20.11.2012	12:02:19	-0.67	17.27	5.15	2.18	4.53	6.40	11.76	15.79	2.15	0.11	0.00	0.00	2.26	91.99	19.20	18.06	225.0471265577
20.11.2012	12:02:21	-0.67	17.32	5.24	2.26	4.51	6.63	11.69	15.81	2.13	0.14	0.00	0.00	2.27	91.69	19.21	18.10	233.2274083847
20.11.2012	12:02:24	-0.67	17.39	4.99	2.32	4.60	6.53	11.81	15.70	2.15	0.13	0.00	0.00	2.27	91.68	19.21	18.17	209.7954265809
20.11.2012	12:02:27	-0.68	17.45	5.17	2.31	4.37	6.72	12.16	15.85	2.26	0.11	0.00	0.00	2.36	91.61	19.20	18.21	192.5409645984
