date	time	depth	sample temperature	LED 525 nm	LED 570 nm	LED 610 nm	LED 590 nm	LED 470 nm	UV LED	#1(Green Algae)	#2(Bluegreen)	#3(Diatoms)	#4(Cryptophyta)	total conc.	transm.	fluor. detector temperature	LED temperature	ChiSquare
 	 	m	°C	digits	digits	digits	digits	digits	digits	µg/l	µg/l	µg/l	µg/l	µg/l	%	°C	°C	
01.11.2012	12:42:01	-0.88	21.42	11.25	4.32	7.87	11.88	25.50	21.69	3.19	0.47	1.28	0.00	4.94	95.63	23.46	21.57	82.0556474674
01.11.2012	12:42:05	-0.87	21.46	11.64	4.48	8.06	11.73	26.59	21.92	3.22	0.42	1.40	0.00	5.05	95.63	23.37	21.41	70.1507838334
01.11.2012	12:42:08	-0.89	21.37	11.64	4.43	8.04	11.82	27.23	21.72	3.47	0.34	1.31	0.13	5.24	95.78	23.37	21.71	46.9542084865
01.11.2012	12:42:11	-0.88	21.51	11.72	4.32	7.97	11.16	26.52	21.64	3.03	0.36	1.48	0.00	4.86	95.89	23.29	21.73	67.0123897079
01.11.2012	12:42:13	-0.87	21.54	11.34	4.12	7.58	11.01	26.26	21.45	3.20	0.30	1.37	0.00	4.87	95.99	23.29	21.74	59.8496016168
01.11.2012	12:42:16	-0.88	21.42	11.31	4.28	7.71	11.15	25.51	21.18	2.95	0.38	1.38	0.00	4.70	96.00	23.33	21.79	70.3353871572
01.11.2012	12:42:19	-0.86	21.41	11.04	4.48	7.76	11.05	26.18	21.29	3.41	0.32	1.25	0.01	4.99	96.13	23.24	21.82	52.5792101252
01.11.2012	12:42:22	-0.87	21.45	11.47	4.57	7.84	11.29	25.72	21.36	2.91	0.41	1.42	0.00	4.74	96.26	23.31	21.87	78.0272320115
01.11.2012	12:42:24	-0.88	21.37	11.63	4.80	7.90	11.57	26.09	21.20	3.15	0.23	1.16	0.47	5.02	96.26	23.31	21.84	62.2986074779
01.11.2012	12:42:27	-0.88	21.47	11.38	4.26	8.45	11.37	26.59	21.82	3.46	0.41	1.29	0.00	5.16	96.45	23.29	21.92	56.1773696525
