Data Audit Trail

Date,User,Event,Comment
6/2/2014 10:42:17 AM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/2/2014 3:55:46 PM,User,Plate read started,
6/2/2014 3:56:25 PM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.075,0.076,0.075,0.078,0.077,0.080,0.075,0.073,660
B,0.077,0.218,0.132,0.152,0.194,0.200,0.088,0.110,660
C,0.074,0.097,0.156,0.156,0.121,0.124,0.099,0.117,660
D,0.073,0.268,0.209,0.157,0.344,0.177,0.104,0.143,660
E,0.078,0.097,0.095,0.087,0.094,0.096,0.090,0.102,660
F,0.078,0.081,0.078,0.080,0.079,0.078,0.078,0.076,660

