Data Audit Trail

Date,User,Event,Comment
6/3/2014 9:19:55 AM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/3/2014 9:21:05 AM,User,Plate read started,
6/3/2014 9:21:44 AM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.077,0.076,0.078,0.075,0.076,0.077,0.075,0.073,660
B,0.079,0.308,0.150,0.156,0.321,0.333,0.111,0.155,660
C,0.077,0.149,0.142,0.133,0.134,0.139,0.131,0.136,660
D,0.076,0.424,0.185,0.145,0.507,0.499,0.127,0.172,660
E,0.076,0.095,0.092,0.092,0.093,0.108,0.087,0.108,660
F,0.077,0.076,0.077,0.077,0.079,0.076,0.079,0.076,660

