Data Audit Trail

Date,User,Event,Comment
6/3/2014 9:19:55 AM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/3/2014 9:22:14 AM,User,Plate read started,
6/3/2014 9:22:54 AM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.075,0.077,0.075,0.079,0.077,0.080,0.075,0.073,660
B,0.077,0.270,0.175,0.183,0.277,0.342,0.090,0.116,660
C,0.074,0.104,0.218,0.253,0.170,0.125,0.097,0.132,660
D,0.074,0.391,0.344,0.266,0.567,0.363,0.099,0.144,660
E,0.079,0.099,0.101,0.090,0.098,0.107,0.092,0.105,660
F,0.078,0.081,0.077,0.080,0.081,0.078,0.078,0.077,660

