Data Audit Trail

Date,User,Event,Comment
6/9/2014 10:30:12 AM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/9/2014 10:55:02 AM,User,Plate read started,
6/9/2014 10:55:44 AM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.078,0.077,0.078,0.087,0.076,0.077,0.076,0.075,660
B,0.078,2.255,0.474,0.515,2.954,0.904,0.125,0.703,660
C,0.079,0.088,0.305,0.181,0.106,0.107,0.095,0.089,660
D,0.076,0.678,0.838,0.136,1.971,1.553,0.302,0.791,660
E,0.077,0.100,0.099,0.120,0.096,0.134,0.090,0.095,660
F,0.079,0.077,0.077,0.078,0.079,0.076,0.079,0.078,660

