Data Audit Trail

Date,User,Event,Comment
6/2/2014 10:42:17 AM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/2/2014 3:53:47 PM,User,Plate read started,
6/2/2014 3:54:26 PM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.076,0.075,0.079,0.078,0.078,0.080,0.078,0.077,660
B,0.077,0.165,0.096,0.094,0.217,0.176,0.085,0.109,660
C,0.080,0.095,0.111,0.107,0.109,0.109,0.083,0.100,660
D,0.078,0.224,0.117,0.118,0.244,0.228,0.085,0.115,660
E,0.076,0.088,0.093,0.090,0.098,0.097,0.086,0.110,660
F,0.080,0.078,0.081,0.079,0.077,0.078,0.078,0.076,660

