Data Audit Trail

Date,User,Event,Comment
6/3/2014 5:08:20 PM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/4/2014 8:55:32 AM,User,Plate read started,
6/4/2014 8:56:11 AM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.077,0.076,0.077,0.086,0.076,0.077,0.075,0.074,660
B,0.079,0.422,0.158,0.163,0.419,0.531,0.110,0.163,660
C,0.079,0.145,0.160,0.148,0.145,0.153,0.141,0.142,660
D,0.076,0.683,0.249,0.159,0.838,0.947,0.149,0.219,660
E,0.076,0.093,0.098,0.105,0.113,0.122,0.091,0.097,660
F,0.078,0.076,0.077,0.077,0.079,0.076,0.078,0.077,660

