Data Audit Trail

Date,User,Event,Comment
6/3/2014 5:08:20 PM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/4/2014 8:58:02 AM,User,Plate read started,
6/4/2014 8:58:41 AM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.082,0.078,0.078,0.078,0.076,0.075,0.074,0.076,660
B,0.079,0.340,0.154,0.176,0.652,0.812,0.111,0.128,660
C,0.083,0.103,0.181,0.209,0.133,0.118,0.110,0.098,660
D,0.084,0.721,0.266,0.191,1.204,0.850,0.118,0.162,660
E,0.082,0.100,0.094,0.095,0.112,0.121,0.090,0.099,660
F,0.077,0.078,0.076,0.084,0.076,0.080,0.078,0.081,660

