Data Audit Trail

Date,User,Event,Comment
6/10/2014 3:05:02 PM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/10/2014 3:09:53 PM,User,Plate read started,
6/10/2014 3:10:32 PM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.077,0.078,0.076,0.079,0.079,0.084,0.076,0.073,660
B,0.082,0.798,0.454,0.315,1.504,1.311,0.101,0.718,660
C,0.076,0.085,0.375,0.332,0.093,0.107,0.088,0.093,660
D,0.078,1.778,0.489,0.160,1.817,1.200,0.107,1.178,660
E,0.091,0.099,0.120,0.102,0.174,0.127,0.086,0.094,660
F,0.079,0.081,0.078,0.080,0.080,0.078,0.078,0.078,660

