Data Audit Trail

Date,User,Event,Comment
6/3/2014 5:08:20 PM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/4/2014 8:54:29 AM,User,Plate read started,
6/4/2014 8:55:09 AM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.076,0.076,0.078,0.078,0.078,0.079,0.078,0.077,660
B,0.077,0.332,0.184,0.183,0.507,0.574,0.120,0.169,660
C,0.078,0.141,0.161,0.145,0.149,0.159,0.139,0.148,660
D,0.080,0.609,0.217,0.164,0.788,0.870,0.138,0.209,660
E,0.078,0.094,0.101,0.126,0.147,0.150,0.108,0.104,660
F,0.079,0.077,0.080,0.078,0.077,0.078,0.078,0.077,660

