Data Audit Trail

Date,User,Event,Comment
6/5/2014 12:48:00 PM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/5/2014 12:50:58 PM,User,Plate read started,
6/5/2014 12:51:37 PM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.081,0.080,0.078,0.078,0.077,0.075,0.074,0.075,660
B,0.078,0.679,0.271,0.168,2.266,2.378,0.113,0.172,660
C,0.083,0.095,0.192,0.209,0.104,0.098,0.092,0.089,660
D,0.085,1.075,0.281,0.174,1.775,1.388,0.092,0.707,660
E,0.084,0.097,0.090,0.104,0.114,0.133,0.090,0.098,660
F,0.077,0.080,0.076,0.083,0.076,0.080,0.080,0.082,660

