Data Audit Trail

Date,User,Event,Comment
6/2/2014 10:42:17 AM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/2/2014 3:56:36 PM,User,Plate read started,
6/2/2014 3:57:18 PM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.079,0.077,0.077,0.075,0.076,0.075,0.074,0.076,660
B,0.079,0.180,0.104,0.103,0.268,0.243,0.113,0.112,660
C,0.085,0.095,0.168,0.197,0.158,0.142,0.136,0.096,660
D,0.084,0.274,0.181,0.203,0.421,0.243,0.155,0.126,660
E,0.083,0.098,0.089,0.089,0.104,0.101,0.090,0.106,660
F,0.077,0.076,0.076,0.085,0.076,0.081,0.078,0.081,660

