Data Audit Trail

Date,User,Event,Comment
6/3/2014 5:08:20 PM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/4/2014 8:56:27 AM,User,Plate read started,
6/4/2014 8:57:23 AM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.075,0.077,0.075,0.078,0.490,0.080,0.075,0.073,660
B,0.077,0.401,0.223,0.252,0.490,0.700,0.095,0.144,660
C,0.074,0.107,0.221,0.327,0.225,0.215,0.129,0.163,660
D,0.073,0.672,0.372,0.312,1.028,0.717,0.136,0.212,660
E,0.078,0.098,0.099,0.090,0.107,0.116,0.092,0.097,660
F,0.077,0.080,0.077,0.080,0.080,0.078,0.078,0.077,660

