Data Audit Trail

Date,User,Event,Comment
6/4/2014 4:01:21 PM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/4/2014 4:03:30 PM,User,Plate read started,
6/4/2014 4:04:10 PM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.075,0.077,0.075,0.078,0.488,0.080,0.075,0.073,660
B,0.077,0.454,0.169,0.171,0.537,0.730,0.089,0.172,660
C,0.075,0.089,0.166,0.188,0.149,0.133,0.103,0.120,660
D,0.074,0.708,0.236,0.166,1.163,0.867,0.103,0.209,660
E,0.078,0.096,0.093,0.094,0.108,0.119,0.089,0.097,660
F,0.077,0.080,0.077,0.080,0.080,0.077,0.077,0.077,660

