Data Audit Trail

Date,User,Event,Comment
6/2/2014 10:42:17 AM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/2/2014 3:54:40 PM,User,Plate read started,
6/2/2014 3:55:19 PM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.076,0.076,0.078,0.075,0.076,0.077,0.075,0.073,660
B,0.080,0.242,0.090,0.087,0.153,0.137,0.085,0.101,660
C,0.077,0.096,0.105,0.103,0.109,0.112,0.106,0.103,660
D,0.075,0.259,0.128,0.113,0.280,0.250,0.106,0.132,660
E,0.076,0.094,0.089,0.085,0.089,0.094,0.086,0.109,660
F,0.078,0.077,0.077,0.078,0.079,0.077,0.079,0.077,660

