Data Audit Trail

Date,User,Event,Comment
6/4/2014 4:01:21 PM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/4/2014 4:04:28 PM,User,Plate read started,
6/4/2014 4:05:08 PM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.082,0.078,0.078,0.078,0.076,0.075,0.074,0.075,660
B,0.078,0.424,0.153,0.215,0.853,1.013,0.111,0.151,660
C,0.083,0.096,0.132,0.138,0.093,0.089,0.086,0.090,660
D,0.085,0.809,0.211,0.119,1.333,0.969,0.086,0.208,660
E,0.082,0.096,0.092,0.096,0.114,0.127,0.091,0.100,660
F,0.077,0.078,0.076,0.084,0.076,0.080,0.078,0.082,660

