Data Audit Trail

Date,User,Event,Comment
6/9/2014 10:30:12 AM,User,Protocol "C:\Program Files\BioTek\Gen5\Protocols\48at660_txtexport.prt" (5/12/2014 10:12:05 AM) selected,
6/9/2014 10:58:07 AM,User,Plate read started,
6/9/2014 10:58:46 AM,User,Plate read successfully completed,

660
,1,2,3,4,5,6,7,8
A,0.083,0.079,0.079,0.080,0.076,0.075,0.075,0.076,660
B,0.081,1.179,0.533,0.279,1.356,0.959,0.113,0.250,660
C,0.096,0.113,0.419,0.454,0.142,0.133,0.132,0.099,660
D,0.094,2.137,0.659,0.252,1.361,1.101,0.152,1.232,660
E,0.092,0.112,0.120,0.104,0.160,0.140,0.092,0.098,660
F,0.079,0.079,0.076,0.078,0.076,0.079,0.085,0.081,660

